时间,币价,挖矿难度
"2016-12-09 00:00","8.44601345","80985310483737.1100000000",
"2016-12-10 00:00","8.12516308","82937850219048.2800000000",
"2016-12-11 00:00","8.19362354","80878029546951.9800000000",
"2016-12-12 00:00","8.52221107","82224328165902.9400000000",
"2016-12-13 00:00","8.4228487","81678014786169.6600000000",
"2016-12-14 00:00","8.26523495","82533566446746.1000000000",
"2016-12-15 00:00","7.82846737","84138040153488.4700000000",
"2016-12-16 00:00","7.8582139","84534055963890.0300000000",
"2016-12-17 00:00","7.87658596","87759902841940.8000000000",
"2016-12-18 00:00","7.86532021","88901803448092.3800000000",
"2016-12-19 00:00","7.64382315","90508375478343.6400000000",
"2016-12-20 00:00","7.66003942","90111207881563.3900000000",
"2016-12-21 00:00","7.91440153","88551562938904.3100000000",
"2016-12-22 00:00","7.58500481","82165845261670.1100000000",
"2016-12-23 00:00","7.16614914","76928058048258.8400000000",
"2016-12-24 00:00","7.2657733","78749733949107.7700000000",
"2016-12-25 00:00","7.17507982","82528379445042.2500000000",
"2016-12-26 00:00","7.27409172","80947196169413.9400000000",
"2016-12-27 00:00","7.1708231","79482363279120.9200000000",
"2016-12-28 00:00","7.52010679","78498064490359.8000000000",
"2016-12-29 00:00","8.28415871","78996386045432.4700000000",
"2016-12-30 00:00","8.15998363","81073024515393.6600000000",
"2016-12-31 00:00","7.96909714","79895312719886.8100000000",
"2017-01-01 00:00","8.17257118","80590621394785.3000000000",
"2017-01-02 00:00","8.37851238","80544805734305.7200000000",
"2017-01-03 00:00","9.72524548","87318226210637.5000000000",
"2017-01-04 00:00","11.25155067","90095806751431.0000000000",
"2017-01-05 00:00","10.25437069","91836668487685.9000000000",
"2017-01-06 00:00","10.25465107","93445343692936.0200000000",
"2017-01-07 00:00","9.8671875","94533533369415.0500000000",
"2017-01-08 00:00","10.2897892","97381935320019.3600000000",
"2017-01-09 00:00","10.32563591","98721760527685.5600000000",
"2017-01-10 00:00","10.54957294","99095850029331.5200000000",
"2017-01-11 00:00","9.71775723","99976126609117.4700000000",
"2017-01-12 00:00","9.86132526","101355721747079.0600000000",
"2017-01-13 00:00","9.76949883","102517316098552.6100000000",
"2017-01-14 00:00","9.6466608","103641292599489.3600000000",
"2017-01-15 00:00","9.90425682","104133864756425.2800000000",
"2017-01-16 00:00","9.63650227","103816767069136.3800000000",
"2017-01-17 00:00","10.30234909","102052589982063.6700000000",
"2017-01-18 00:00","10.22776699","107183579592373.4000000000",
"2017-01-19 00:00","10.39718246","106856886296550.6900000000",
"2017-01-20 00:00","10.60062504","108357960842583.8400000000",
"2017-01-21 00:00","10.90918159","108810664546340.3400000000",
"2017-01-22 00:00","10.70322132","111109182382570.5000000000",
"2017-01-23 00:00","10.82081127","109884574767561.3600000000",
"2017-01-24 00:00","10.63247776","110021194029927.9700000000",
"2017-01-25 00:00","10.57054901","111653829501810.0000000000",
"2017-01-26 00:00","10.58913231","112706725971327.7500000000",
"2017-01-27 00:00","10.53732777","111597251690471.9500000000",
"2017-01-28 00:00","10.5649662","110677229211401.2200000000",
"2017-01-29 00:00","10.48404408","110965361382403.4200000000",
"2017-01-30 00:00","10.57116795","112736655847623.0600000000",
"2017-01-31 00:00","10.72754002","111556529192167.6200000000",
"2017-02-01 00:00","10.73209953","113889569670480.6200000000",
"2017-02-02 00:00","10.82135391","112321071569065.8900000000",
"2017-02-03 00:00","11.11449337","112664982859162.4700000000",
"2017-02-04 00:00","11.43353271","118162521609510.1200000000",
"2017-02-05 00:00","11.3530283","119233553917492.3300000000",
"2017-02-06 00:00","11.38935947","119408174053678.9500000000",
"2017-02-07 00:00","11.51529217","120240442078090.5300000000",
"2017-02-08 00:00","11.43119621","121112629599501.9200000000",
"2017-02-09 00:00","11.03224182","124420881945008.5300000000",
"2017-02-10 00:00","11.2789278","124729199351362.3300000000",
"2017-02-11 00:00","11.34952068","126459688067866.8300000000",
"2017-02-12 00:00","11.39915657","127522698743436.9500000000",
"2017-02-13 00:00","11.26952076","129976242976873.6400000000",
"2017-02-14 00:00","13.02523708","129591212074361.6600000000",
"2017-02-15 00:00","12.91972351","129993838998709.6700000000",
"2017-02-16 00:00","12.90366554","133277880902089.4000000000",
"2017-02-17 00:00","12.6764822","135014381784089.3400000000",
"2017-02-18 00:00","12.81015205","137218543477856.0800000000",
"2017-02-19 00:00","12.75846291","137087282838473.5500000000",
"2017-02-20 00:00","12.43014431","140243765787062.6900000000",
"2017-02-21 00:00","12.66839504","140527985903206.1600000000",
"2017-02-22 00:00","12.59969425","139771216949726.1900000000",
"2017-02-23 00:00","13.1193552","140244204595928.1000000000",
"2017-02-24 00:00","13.06915283","142921795594386.5300000000",
"2017-02-25 00:00","13.54866791","147403117786423.0000000000",
"2017-02-26 00:00","14.5199604","150763135535358.2200000000",
"2017-02-27 00:00","15.39652157","154531298158777.9000000000",
"2017-02-28 00:00","15.81719875","152609645840701.4700000000",
"2017-03-01 00:00","17.34967995","152750437756725.3000000000",
"2017-03-02 00:00","19.03023911","160218262503818.8800000000",
"2017-03-03 00:00","19.45896912","158696202661514.7500000000",
"2017-03-04 00:00","18.61887932","163957070615673.1000000000",
"2017-03-05 00:00","19.30225182","166364756871466.1000000000",
"2017-03-06 00:00","19.60566902","165932786170023.5600000000",
"2017-03-07 00:00","18.88864517","170548353459046.6000000000",
"2017-03-08 00:00","16.6512928","173893501620974.2800000000",
"2017-03-09 00:00","17.75471878","172946116683499.7000000000",
"2017-03-10 00:00","19.33226776","175150964854875.5600000000",
"2017-03-11 00:00","21.47252274","177744901361972.2800000000",
"2017-03-12 00:00","23.43771935","180234563886082.3400000000",
"2017-03-13 00:00","28.59292221","179844868676513.4700000000",
"2017-03-14 00:00","28.65459824","184131837909601.5000000000",
"2017-03-15 00:00","35.05591965","185854482499220.5300000000",
"2017-03-16 00:00","46.34581375","192810181596648.5000000000",
"2017-03-17 00:00","46.82799149","197600563820069.7200000000",
"2017-03-18 00:00","34.16022873","190867062702114.2200000000",
"2017-03-19 00:00","44.74007416","199408455948147.8000000000",
"2017-03-20 00:00","43.39022446","199630954421502.3000000000",
