时间,币价,平均算力
"2019-10-12 00:00","183.750214","192886028171790.0000000000",
"2019-10-14 00:00","182.337859","199627029024630.0000000000",
"2019-10-15 00:00","174.127706","193983568124440.0000000000",
"2019-10-16 00:00","176.939923","193163709149900.0000000000",
"2019-10-18 00:00","173.971248","193133980148450.0000000000",
"2019-10-19 00:00","172.970608","193523976594300.0000000000",
"2019-10-20 00:00","174.264196","185998401512450.0000000000",
"2019-10-21 00:00","172.4436556009","187613054703630.0000000000",
"2019-10-22 00:00","158.999916212","194385028717630.0000000000",
"2019-10-23 00:00","161.7171852843","189509524170720.0000000000",
"2019-10-24 00:00","167.8643838103","182918944426890.0000000000",
"2019-10-25 00:00","180.9500522459","187591000107710.0000000000",
"2019-10-26 00:00","183.0138996809","182315454611900.0000000000",
"2019-10-27 00:00","182.5761217521","184699400622060.0000000000",
"2019-10-28 00:00","185.2422220183","185686176200990.0000000000",
"2019-10-29 00:00","181.3801673333","188954404688550.0000000000",
"2019-10-30 00:00","182.1958649131","188922361604450.0000000000",
"2019-10-31 00:00","181.0742779497","190501926037880.0000000000",
"2019-11-01 00:00","183.8945035375","187500815895740.0000000000",
"2019-11-02 00:00","182.1535706169","186368509318260.0000000000",
"2019-11-04 00:00","190.0538785424","185628855103980.0000000000",
"2019-11-05 00:00","190.2790825664","188159382440180.0000000000",
"2019-11-06 00:00","186.3852833612","187900690950680.0000000000",
"2019-11-07 00:00","183.2688744007","186111104174500.0000000000",
"2019-11-08 00:00","184.3762173227","185618861481030.0000000000",
"2019-11-10 00:00","186.6826734662","183815802800040.0000000000",
"2019-11-11 00:00","183.6402050735","186494790882040.0000000000",
"2019-11-12 00:00","185.8039512804","189817800205160.0000000000",
"2019-11-13 00:00","183.9327515642","185743483523310.0000000000",
"2019-11-14 00:00","180.2645814431","184337700150300.0000000000",
"2019-11-15 00:00","182.2651052619","180709457630370.0000000000",
"2019-11-16 00:00","184.5372093387","185678062380412.0000000000",
"2019-11-17 00:00","181.0901315929","186170138843020.0000000000",
"2019-11-18 00:00","174.2438596994","175339112698980.0000000000",
"2019-11-19 00:00","175.4926867175","173687985800440.0000000000",
"2019-11-20 00:00","162.6916227271","183089394668080.0000000000",
"2019-11-21 00:00","145.8525453695","178071442561440.0000000000",
"2019-11-22 00:00","151.9369212717","180526431005840.0000000000",
"2019-11-26 00:00","148.4940880237","174864931052230.0000000000",
"2019-11-27 00:00","154.1795026777","174311144135120.0000000000",
"2019-11-28 00:00","156.1482299328","174011224911900.0000000000",
"2019-11-29 00:00","152.5171341629","176385613233040.0000000000",
"2019-11-30 00:00","151.1617118658","172298729343831.0000000000",
"2019-12-01 00:00","147.9230805841","175869515500910.0000000000",
"2019-12-02 00:00","147.7299649377","178895505936070.0000000000",
"2019-12-03 00:00","148.3446759274","175039027133230.0000000000",
"2019-12-04 00:00","146.7509400673","172717999534020.0000000000",
"2019-12-05 00:00","147.521760274","171223470189520.0000000000",
"2019-12-06 00:00","146.7647797751","176275315925430.0000000000",
"2019-12-08 00:00","148.6050679745","172058354053790.0000000000",
"2019-12-09 00:00","145.8999952914","179237757566570.0000000000",
"2019-12-10 00:00","142.63665495","171879797211730.0000000000",
"2019-12-11 00:00","142.4307094937","174145582305180.0000000000",
"2019-12-12 00:00","144.2547306668","174453892194940.0000000000",
"2019-12-13 00:00","142.6216801697","175956272507410.0000000000",
"2019-12-14 00:00","142.975120805","174565853900440.0000000000",
"2019-12-15 00:00","141.2854412468","172709050070060.0000000000",
"2019-12-16 00:00","128.224357097","165001817839550.0000000000",
"2019-12-18 00:00","126.2349461427","157328510817750.0000000000",
"2019-12-19 00:00","128.2423654653","152176857113070.0000000000",
"2019-12-20 00:00","125.8682374709","156298534298030.0000000000",
"2019-12-21 00:00","128.8953464148","153702638930870.0000000000",
"2019-12-22 00:00","134.2704942899","154445288169570.0000000000",
"2019-12-23 00:00","126.1969971376","154680569351620.0000000000",
"2019-12-24 00:00","124.282634637","150672571975632.0000000000",
"2019-12-25 00:00","125.5265318384","147371573955732.0000000000",
"2019-12-26 00:00","125.8359962877","144834717403438.0000000000",
"2019-12-27 00:00","127.5638639775","144993361095625.0000000000",
