时间,币价,链上交易量
"2018-04-24 00:00","708.15808105","2515089.2604943500",
"2018-04-25 00:00","615.41564941","2021703.6703123700",
"2018-04-26 00:00","662.80865479","2101174.4914983100",
"2018-04-27 00:00","647.03192139","1791267.3787407300",
"2018-04-28 00:00","683.67791748","1656090.0056627700",
"2018-04-29 00:00","688.88079834","2006608.6604055100",
"2018-04-30 00:00","669.92364502","1873431.6760176400",
"2018-05-01 00:00","673.61328125","2661594.1541633500",
"2018-05-02 00:00","687.14935303","2698317.0117810000",
"2018-05-03 00:00","779.54278564","2548335.9896416100",
"2018-05-04 00:00","785.62414551","1734713.9540348000",
"2018-05-05 00:00","816.11968994","1525404.3325101800",
"2018-05-06 00:00","792.31085205","2952972.8814155700",
"2018-05-07 00:00","753.72546387","2103580.6312577100",
"2018-05-08 00:00","752.85717773","2228820.0149171400",
"2018-05-09 00:00","752.27526855","2138960.7166348800",
"2018-05-10 00:00","727.27740479","2187251.7514481400",
"2018-05-11 00:00","679.58630371","1602325.1784816200",
"2018-05-12 00:00","686.04827881","1184954.0947998200",
"2018-05-13 00:00","733.49645996","2166009.3289763600",
"2018-05-14 00:00","730.5491333","1968843.7962482000",
"2018-05-15 00:00","708.87139893","1666577.1647509500",
"2018-05-16 00:00","707.05023193","1692565.5451082500",
"2018-05-17 00:00","672.65655518","1648203.6350457700",
"2018-05-18 00:00","694.36688232","1207948.7949615200",
"2018-05-19 00:00","696.52954102","1262492.3283745600",
"2018-05-20 00:00","715.36877441","1645868.2487266300",
"2018-05-21 00:00","699.22198486","2198895.5356194000",
"2018-05-22 00:00","647.74053955","2638704.1740479300",
"2018-05-23 00:00","583.58459473","2111958.4431134100",
"2018-05-24 00:00","601.75463867","1807196.6104769400",
"2018-05-25 00:00","586.73449707","1325638.9306842400",
"2018-05-26 00:00","587.28039551","1952237.6530391400",
"2018-05-27 00:00","572.66790771","2726946.1267514800",
"2018-05-28 00:00","516.03570557","2234711.3321381400",
"2018-05-29 00:00","565.38775635","2167930.6670372600",
"2018-05-30 00:00","559.59008789","2253058.9427039700",
"2018-05-31 00:00","577.64489746","2467384.7215176800",
"2018-06-01 00:00","580.04315186","1296093.3755491800",
"2018-06-02 00:00","591.80847168","1110178.7766476200",
"2018-06-03 00:00","619.43743896","2029139.0429933900",
"2018-06-04 00:00","592.98468018","2072053.4178633800",
"2018-06-05 00:00","609.30285645","2244345.0698700200",
"2018-06-06 00:00","607.12353516","2150451.0426791600",
"2018-06-07 00:00","605.18737793","2315262.2496046800",
"2018-06-08 00:00","601.07727051","1194530.8376981200",
"2018-06-09 00:00","597.56231689","1798407.8904405400",
"2018-06-10 00:00","526.47912598","2187494.1481304700",
"2018-06-11 00:00","533.28424072","2979799.0369630800",
"2018-06-12 00:00","496.84338379","4097688.1851699800",
"2018-06-13 00:00","477.49401855","4071635.9729603400",
"2018-06-14 00:00","519.74188232","3584187.9147185500",
"2018-06-15 00:00","491.00427246","1561087.2768353200",
"2018-06-16 00:00","499.64233398","1180857.8771477400",
"2018-06-17 00:00","500.44848633","1587870.6151987400",
"2018-06-18 00:00","518.890625","1899245.1598355400",
"2018-06-19 00:00","537.95739746","2069731.4343381000",
"2018-06-20 00:00","536.26782227","1859104.5580835200",
"2018-06-21 00:00","527.36657715","2400034.8473877900",
"2018-06-22 00:00","465.81680298","1286660.7874787200",
"2018-06-23 00:00","474.51977539","1961550.8618868600",
"2018-06-24 00:00","457.67190552","2341730.0602708500",
"2018-06-25 00:00","460.30984497","1938630.9082675700",
"2018-06-26 00:00","432.77172852","1929840.2739346800",
"2018-06-27 00:00","442.36489868","1798890.7890926200",
"2018-06-28 00:00","422.36499023","2164887.9273632700",
"2018-06-29 00:00","436.00900269","1243160.5796013800",
"2018-06-30 00:00","455.17999268","1006584.4324827100",
"2018-07-01 00:00","453.91799927","1421853.4170806600",
"2018-07-02 00:00","475.34698486","1803005.5014703000",
"2018-07-03 00:00","464.19500732","1541034.4088616600",
"2018-07-04 00:00","467.31799316","1649713.4094767200",
"2018-07-05 00:00","474.4119873","1580813.2896504100",
"2018-07-06 00:00","474.01199341","1117012.7144465600",
"2018-07-07 00:00","491.66000366","1268372.7082034000",
"2018-07-08 00:00","489.11898804","1747130.0596458000",
"2018-07-09 00:00","476.68200684","1910132.3756715300",
"2018-07-10 00:00","434.42401123","1422500.3966653900",
"2018-07-11 00:00","446.51800537","1303158.4730513400",
"2018-07-12 00:00","430.07400513","1246329.6598690700",
"2018-07-13 00:00","434.02700806","931178.6807655600",
"2018-07-14 00:00","436.08599854","794884.6501836800",
"2018-07-15 00:00","449.8500061","1726274.5509635300",
