时间,币价,新增地址数
"2016-05-12 00:00","10.05779934","2801.0000000000",
"2016-05-13 00:00","10.50657082","2324.0000000000",
"2016-05-14 00:00","10.23973179","2441.0000000000",
"2016-05-15 00:00","9.9623518","1780.0000000000",
"2016-05-16 00:00","11.17129898","2510.0000000000",
"2016-05-17 00:00","12.1987505","3853.0000000000",
"2016-05-18 00:00","13.55858231","3524.0000000000",
"2016-05-19 00:00","14.76970387","5093.0000000000",
"2016-05-20 00:00","13.63562298","4161.0000000000",
"2016-05-21 00:00","14.01504421","2258.0000000000",
"2016-05-22 00:00","14.28610992","2599.0000000000",
"2016-05-23 00:00","13.46151066","2316.0000000000",
"2016-05-24 00:00","12.73231983","2713.0000000000",
"2016-05-25 00:00","12.52603245","2731.0000000000",
"2016-05-26 00:00","12.43041801","4100.0000000000",
"2016-05-27 00:00","11.29575253","12812.0000000000",
"2016-05-28 00:00","11.89294243","3303.0000000000",
"2016-05-29 00:00","12.35042667","2416.0000000000",
"2016-05-30 00:00","12.72528076","2734.0000000000",
"2016-05-31 00:00","14.07725048","2436.0000000000",
"2016-06-01 00:00","14.00150299","2021.0000000000",
"2016-06-02 00:00","13.73803997","2022.0000000000",
"2016-06-03 00:00","13.8466959","1814.0000000000",
"2016-06-04 00:00","13.74044323","1781.0000000000",
"2016-06-05 00:00","13.97502708","2132.0000000000",
"2016-06-06 00:00","13.93407631","6274.0000000000",
"2016-06-07 00:00","14.51203537","2217.0000000000",
"2016-06-08 00:00","14.41773224","2330.0000000000",
"2016-06-09 00:00","14.39861774","2506.0000000000",
"2016-06-10 00:00","13.90864468","2476.0000000000",
"2016-06-11 00:00","14.19161892","2874.0000000000",
"2016-06-12 00:00","15.74371529","4914.0000000000",
"2016-06-13 00:00","17.60272408","4227.0000000000",
"2016-06-14 00:00","18.89321709","2927.0000000000",
"2016-06-15 00:00","18.35429001","5539.0000000000",
"2016-06-16 00:00","20.58860207","14069.0000000000",
"2016-06-17 00:00","15.37683868","14749.0000000000",
"2016-06-18 00:00","11.33068657","6469.0000000000",
"2016-06-19 00:00","12.23420715","5706.0000000000",
"2016-06-20 00:00","11.83953381","4392.0000000000",
"2016-06-21 00:00","13.30673122","5709.0000000000",
"2016-06-22 00:00","13.09510899","3503.0000000000",
"2016-06-23 00:00","13.67622185","3790.0000000000",
"2016-06-24 00:00","14.33205795","2327.0000000000",
"2016-06-25 00:00","14.28302765","2399.0000000000",
"2016-06-26 00:00","13.85019493","2653.0000000000",
"2016-06-27 00:00","13.88386536","3321.0000000000",
"2016-06-28 00:00","12.17556","2911.0000000000",
"2016-06-29 00:00","12.61120892","2102.0000000000",
"2016-06-30 00:00","12.46150208","2960.0000000000",
"2016-07-01 00:00","12.19946003","2570.0000000000",
"2016-07-02 00:00","12.128438","3238.0000000000",
"2016-07-03 00:00","11.7202177","2841.0000000000",
"2016-07-04 00:00","11.47100258","3898.0000000000",
"2016-07-05 00:00","10.61136818","3039.0000000000",
"2016-07-06 00:00","10.52893353","3098.0000000000",
"2016-07-07 00:00","10.10936642","3083.0000000000",
"2016-07-08 00:00","11.39457512","4011.0000000000",
"2016-07-09 00:00","10.96547318","3116.0000000000",
"2016-07-10 00:00","10.94762325","2525.0000000000",
"2016-07-11 00:00","10.45902729","3656.0000000000",
"2016-07-12 00:00","10.51609421","2816.0000000000",
"2016-07-13 00:00","10.50051498","3117.0000000000",
"2016-07-14 00:00","11.51319122","3494.0000000000",
"2016-07-15 00:00","11.95162392","2225.0000000000",
"2016-07-16 00:00","11.65283012","1465.0000000000",
"2016-07-17 00:00","11.15869617","2491.0000000000",
"2016-07-18 00:00","11.03442764","2930.0000000000",
"2016-07-19 00:00","11.61912441","4744.0000000000",
"2016-07-20 00:00","12.45060062","3374.0000000000",
"2016-07-21 00:00","12.65074444","4433.0000000000",
"2016-07-22 00:00","14.66192436","3767.0000000000",
"2016-07-23 00:00","14.29966831","3806.0000000000",
"2016-07-24 00:00","12.74947929","4509.0000000000",
"2016-07-25 00:00","13.83611584","5286.0000000000",
"2016-07-26 00:00","11.98951626","5687.0000000000",
"2016-07-27 00:00","12.97279072","3487.0000000000",
"2016-07-28 00:00","12.84363079","4894.0000000000",
"2016-07-29 00:00","12.79463482","2383.0000000000",
"2016-07-30 00:00","12.46101952","2646.0000000000",
"2016-07-31 00:00","11.87594414","2717.0000000000",
"2016-08-01 00:00","10.94160366","3894.0000000000",
"2016-08-02 00:00","8.78727818","3223.0000000000",
"2016-08-03 00:00","10.29389095","2918.0000000000",
"2016-08-04 00:00","11.0427866","2350.0000000000",
"2016-08-05 00:00","10.92538166","1936.0000000000",
"2016-08-06 00:00","10.88107681","1914.0000000000",
"2016-08-07 00:00","10.91155529","2360.0000000000",
"2016-08-08 00:00","11.2454319","3264.0000000000",
"2016-08-09 00:00","12.2443018","2938.0000000000",
"2016-08-10 00:00","12.14320564","2662.0000000000",
"2016-08-11 00:00","11.69089794","2344.0000000000",
"2016-08-12 00:00","11.77854824","1772.0000000000",
"2016-08-13 00:00","11.57128239","1696.0000000000",
"2016-08-14 00:00","11.19476032","1745.0000000000",
"2016-08-15 00:00","11.21837139","1858.0000000000",
"2016-08-16 00:00","11.13965511","1824.0000000000",
"2016-08-17 00:00","10.75275326","1839.0000000000",
"2016-08-18 00:00","10.75610638","1696.0000000000",
"2016-08-19 00:00","10.74868679","1800.0000000000",
"2016-08-20 00:00","11.24738789","2132.0000000000",
"2016-08-21 00:00","11.17916775","1609.0000000000",
"2016-08-22 00:00","11.12092113","2778.0000000000",
"2016-08-23 00:00","11.03055477","1943.0000000000",
"2016-08-24 00:00","11.03602505","2243.0000000000",
"2016-08-25 00:00","11.35740757","1919.0000000000",
"2016-08-26 00:00","11.29538727","1480.0000000000",
"2016-08-27 00:00","11.1482029","1650.0000000000",
"2016-08-28 00:00","10.92926788","1865.0000000000",
"2016-08-29 00:00","10.98382664","1942.0000000000",
"2016-08-30 00:00","11.22885418","2100.0000000000",
"2016-08-31 00:00","11.67238045","2413.0000000000",
"2016-09-01 00:00","11.99490738","2091.0000000000",
"2016-09-02 00:00","12.11295128","1872.0000000000",
"2016-09-03 00:00","11.75873947","1922.0000000000",
"2016-09-04 00:00","11.67991734","1792.0000000000",
"2016-09-05 00:00","11.71703339","2049.0000000000",
"2016-09-06 00:00","11.68914032","1871.0000000000",
"2016-09-07 00:00","11.54791069","2295.0000000000",
"2016-09-08 00:00","11.34593678","2159.0000000000",
"2016-09-09 00:00","11.65284252","2013.0000000000",
"2016-09-10 00:00","12.1684866","1803.0000000000",
"2016-09-11 00:00","11.63843155","2552.0000000000",
"2016-09-12 00:00","11.89369202","2056.0000000000",
"2016-09-13 00:00","11.91872501","1972.0000000000",
"2016-09-14 00:00","11.92320633","1903.0000000000",
"2016-09-15 00:00","11.93702698","1905.0000000000",
"2016-09-16 00:00","12.55577183","1871.0000000000",
"2016-09-17 00:00","12.69864559","1678.0000000000",
"2016-09-18 00:00","12.43123531","1064.0000000000",
"2016-09-19 00:00","13.18900108","2541.0000000000",
"2016-09-20 00:00","14.43027496","3048.0000000000",
"2016-09-21 00:00","13.76851273","1804.0000000000",
"2016-09-22 00:00","13.24758434","1606.0000000000",
"2016-09-23 00:00","13.3313179","1651.0000000000",
"2016-09-24 00:00","12.87793636","2156.0000000000",
"2016-09-25 00:00","13.10085487","1824.0000000000",
"2016-09-26 00:00","12.8230505","1892.0000000000",
"2016-09-27 00:00","13.09827995","1870.0000000000",
"2016-09-28 00:00","13.27484035","4035.0000000000",
"2016-09-29 00:00","13.07335472","2362.0000000000",
"2016-09-30 00:00","13.22480297","1917.0000000000",
"2016-10-01 00:00","13.17269611","2188.0000000000",
"2016-10-02 00:00","13.19970989","2373.0000000000",
"2016-10-03 00:00","13.45236683","40316.0000000000",
"2016-10-04 00:00","13.27698708","2436.0000000000",
"2016-10-05 00:00","13.03569317","2761.0000000000",
"2016-10-06 00:00","12.85433292","2172.0000000000",
"2016-10-07 00:00","12.66705894","3127.0000000000",
"2016-10-08 00:00","12.21911621","2775.0000000000",
"2016-10-09 00:00","12.05368328","3979.0000000000",
"2016-10-10 00:00","11.75553703","2252491.0000000000",
"2016-10-11 00:00","11.78567982","7146776.0000000000",
"2016-10-12 00:00","11.93353081","4972207.0000000000",
"2016-10-13 00:00","11.9630022","989946.0000000000",
"2016-10-14 00:00","11.93824577","701923.0000000000",
"2016-10-15 00:00","11.98343563","1170221.0000000000",
"2016-10-16 00:00","11.9515667","1062628.0000000000",
"2016-10-17 00:00","12.0050087","860014.0000000000",
"2016-10-18 00:00","12.58848763","2436.0000000000",
"2016-10-19 00:00","12.02256203","1597.0000000000",
"2016-10-20 00:00","12.098979","1510.0000000000",
"2016-10-21 00:00","12.17536449","1675.0000000000",
"2016-10-22 00:00","12.07148743","1348.0000000000",
"2016-10-23 00:00","12.03603363","1814.0000000000",
"2016-10-24 00:00","11.96895885","2829.0000000000",
"2016-10-25 00:00","11.41400719","2005.0000000000",
"2016-10-26 00:00","11.53199673","1881.0000000000",
"2016-10-27 00:00","11.49969292","2277.0000000000",
"2016-10-28 00:00","11.08507824","1812.0000000000",
"2016-10-29 00:00","10.44459438","1704.0000000000",
"2016-10-30 00:00","11.18276787","1847.0000000000",
"2016-10-31 00:00","10.99822712","2298.0000000000",
"2016-11-01 00:00","10.76613426","4998.0000000000",
"2016-11-02 00:00","10.75260258","1929.0000000000",
"2016-11-03 00:00","10.80099678","1619.0000000000",
"2016-11-04 00:00","11.09069157","1550.0000000000",
"2016-11-05 00:00","11.0025177","1682.0000000000",
"2016-11-06 00:00","10.87350655","1779.0000000000",
"2016-11-07 00:00","10.80883884","2028.0000000000",
"2016-11-08 00:00","10.83365059","2499.0000000000",
"2016-11-09 00:00","10.65554047","1968.0000000000",
"2016-11-10 00:00","10.52449417","2228.0000000000",
"2016-11-11 00:00","10.28994465","1763.0000000000",
"2016-11-12 00:00","9.87795925","2350.0000000000",
"2016-11-13 00:00","10.10153484","1843.0000000000",
"2016-11-14 00:00","9.96647644","2101.0000000000",
"2016-11-15 00:00","10.21750355","1870.0000000000",
"2016-11-16 00:00","10.05912781","1807.0000000000",
"2016-11-17 00:00","9.99117851","2046.0000000000",
"2016-11-18 00:00","9.47615719","1571.0000000000",
"2016-11-19 00:00","9.66276073","1931.0000000000",
"2016-11-20 00:00","9.57928467","2161.0000000000",
"2016-11-21 00:00","9.62081528","2536.0000000000",
"2016-11-22 00:00","9.9057169","1675.0000000000",
"2016-11-23 00:00","9.84361649","1649.0000000000",
"2016-11-24 00:00","9.23167324","20524.0000000000",
"2016-11-25 00:00","9.40205097","3223.0000000000",
"2016-11-26 00:00","9.3281126","2826.0000000000",
"2016-11-27 00:00","8.99847031","1706.0000000000",
"2016-11-28 00:00","8.72482395","1767.0000000000",
"2016-11-29 00:00","8.17411613","1849.0000000000",
"2016-11-30 00:00","8.58754253","1669.0000000000",
"2016-12-01 00:00","8.4525013","3414.0000000000",
"2016-12-02 00:00","7.75996161","6401.0000000000",
"2016-12-03 00:00","7.92134237","5571.0000000000",
"2016-12-04 00:00","7.44367933","6700.0000000000",
"2016-12-05 00:00","6.82166243","2585.0000000000",
"2016-12-06 00:00","7.86892748","1968.0000000000",
"2016-12-07 00:00","8.38148212","1691.0000000000",
"2016-12-08 00:00","8.23051453","1813.0000000000",
"2016-12-09 00:00","8.44601345","3391.0000000000",
"2016-12-10 00:00","8.12516308","2692.0000000000",
"2016-12-11 00:00","8.19362354","1752.0000000000",
"2016-12-12 00:00","8.52221107","1602.0000000000",
"2016-12-13 00:00","8.4228487","3245.0000000000",
"2016-12-14 00:00","8.26523495","3902.0000000000",
"2016-12-15 00:00","7.82846737","1887.0000000000",
"2016-12-16 00:00","7.8582139","3100.0000000000",
"2016-12-17 00:00","7.87658596","2088.0000000000",
"2016-12-18 00:00","7.86532021","2110.0000000000",
"2016-12-19 00:00","7.64382315","2310.0000000000",
"2016-12-20 00:00","7.66003942","1921.0000000000",
"2016-12-21 00:00","7.91440153","9012.0000000000",
"2016-12-22 00:00","7.58500481","4129.0000000000",
"2016-12-23 00:00","7.16614914","1777.0000000000",
"2016-12-24 00:00","7.2657733","1293.0000000000",
"2016-12-25 00:00","7.17507982","1401.0000000000",
"2016-12-26 00:00","7.27409172","1702.0000000000",
"2016-12-27 00:00","7.1708231","1991.0000000000",
"2016-12-28 00:00","7.52010679","2616.0000000000",
"2016-12-29 00:00","8.28415871","2423.0000000000",
"2016-12-30 00:00","8.15998363","2954.0000000000",
"2016-12-31 00:00","7.96909714","1604.0000000000",
"2017-01-01 00:00","8.17257118","2259.0000000000",
"2017-01-02 00:00","8.37851238","2665.0000000000",
"2017-01-03 00:00","9.72524548","3582.0000000000",
"2017-01-04 00:00","11.25155067","3330.0000000000",
"2017-01-05 00:00","10.25437069","3316.0000000000",
"2017-01-06 00:00","10.25465107","2716.0000000000",
"2017-01-07 00:00","9.8671875","2243.0000000000",
"2017-01-08 00:00","10.2897892","2442.0000000000",
"2017-01-09 00:00","10.32563591","2341.0000000000",
"2017-01-10 00:00","10.54957294","2287.0000000000",
