时间,前100持仓量,前50持仓量,前30持仓量,前10持仓量
"2019-12-25 00:00","35645030.14812505","27184144.598267473","22236580.044135515","13722746.8150213",
"2019-12-26 00:00","35598993.18338098","27140561.651880097","22229829.790514328","13818452.457502872",
"2019-12-27 00:00","35667709.48978862","27216401.885280024","22352421.362876557","13917416.189106695",
"2019-12-28 00:00","35718427.7105266","27278554.71043501","22402751.4107442","13950023.832179818",
"2019-12-29 00:00","35719223.16782426","27323221.493881993","22427711.765631568","13960548.717838505",
"2019-12-30 00:00","35759189.82844061","27343087.130645297","22431180.532426003","13985656.412258685",
"2019-12-31 00:00","35792155.02265671","27430089.04944183","22687888.531501308","14240362.146002535",
"2020-01-01 00:00","35825067.068311624","27469279.587858137","22712922.207013335","14250900.543651935",
"2020-01-02 00:00","35866303.15189367","27514721.98941757","22753051.32598639","14262468.09330302",
"2020-01-03 00:00","35882109.62874067","27520408.949553568","22784865.54741896","14284433.013467483",
"2020-01-04 00:00","35946928.87012431","27596578.621503126","22819538.60818984","14294805.311655153",
"2020-01-05 00:00","35964796.9784356","27630415.033865865","22857938.914170973","14303037.964721294",
"2020-01-06 00:00","36023816.21032501","27648823.58911939","22892924.280417617","14307823.155691039",
"2020-01-07 00:00","36095133.96146717","27749522.745523892","22944193.62238713","14325037.602925692",
"2020-01-08 00:00","36053542.26950488","27726122.10916006","22941828.671383172","14356977.092289336",
"2020-01-09 00:00","36129371.82884934","27835344.148436114","23054677.857801016","14486930.521370163",
"2020-01-10 00:00","36139725.49795735","27863894.81794141","23087488.5530275","14491658.993379802",
"2020-01-11 00:00","36226508.72808985","27944857.069834195","23156156.929991256","14492480.895067444",
"2020-01-12 00:00","36268569.93533968","27994157.627058886","23203849.878657617","14496551.09465385",
"2020-01-13 00:00","36209057.41509152","27939052.39245232","23170400.23419419","14496865.851973355",
"2020-01-14 00:00","36241018.65768316","27995251.597648565","23196071.370611783","14508536.321334444",
"2020-01-15 00:00","36314297.89387692","28065147.49901733","23280908.091028742","14534274.629349388",
"2020-01-16 00:00","36378828.27106078","28115112.51359987","23329538.359819856","14557825.45191856",
"2020-01-17 00:00","36359149.72530119","28093245.717897005","23332526.403151173","14567978.329869399",
"2020-01-18 00:00","36115079.91017558","27832573.942086045","23072523.78859282","14574746.293718876",
