时间,币价,持仓量
"2021-03-23 00:00","1719.407525067","3175275.558015",
"2021-03-24 00:00","1594.8344747956","3175058.447065",
"2021-03-25 00:00","1641.0140947143","3174841.336115",
"2021-03-26 00:00","1683.6616463833","3174841.336115",
"2021-03-27 00:00","1706.3506791517","3174841.336115",
"2021-03-28 00:00","1778.6042852677","3174190.003265",
"2021-03-29 00:00","1832.0326358243","3173972.892315",
"2021-03-30 00:00","1850.3648755229","3173755.7813649997",
"2021-03-31 00:00","1942.4641125747","3173535.56883",
"2021-04-01 00:00","2071.4275073479","3173318.45788",
"2021-04-02 00:00","2079.418564183","3173318.45788",
"2021-04-03 00:00","2077.8682835412","3173318.45788",
"2021-04-04 00:00","2107.7713498245","3172667.1250299998",
"2021-04-05 00:00","2089.6737600327","3172450.01408",
"2021-04-06 00:00","1981.8708038938","3172232.90313",
"2021-04-07 00:00","2055.9802792153","3172015.79218",
"2021-04-08 00:00","2064.0244160053","3171798.68123",
"2021-04-09 00:00","2157.8869902061","3171798.68123",
"2021-04-10 00:00","2151.9950717711","3171798.68123",
"2021-04-11 00:00","2130.3923436355","3171147.3483800003",
"2021-04-12 00:00","2261.4200087557","3170930.2374299997",
"2021-04-13 00:00","2340.2520680909","3170713.12648",
"2021-04-14 00:00","2462.6697461176","3170496.0155300004",
"2021-04-15 00:00","2429.0702278481","3170278.90458",
"2021-04-16 00:00","2349.2365582636","3170278.90458",
"2021-04-17 00:00","2145.1252122133","3170277.9741045",
"2021-04-18 00:00","2098.1841660074","3169626.6412545",
"2021-04-19 00:00","2172.882944709","3169409.5303045004",
"2021-04-20 00:00","2438.6516518839","3169192.4193545",
"2021-04-21 00:00","2607.6135466946","3168975.3084045",
"2021-04-22 00:00","2327.690538432","3168758.1974544995",
"2021-04-23 00:00","2248.5480793649","3168758.1974544995",
"2021-04-24 00:00","2338.4984009203","3168758.1974544995",
"2021-04-25 00:00","2503.5925456987","3168107.174763",
"2021-04-26 00:00","2666.0583367406","3167890.063813",
"2021-04-27 00:00","2679.9969433277","3167673.2630215",
"2021-04-28 00:00","2782.9316826221","3167456.1520715",
"2021-04-29 00:00","2733.029847083","3167239.35128",
"2021-04-30 00:00","2862.3222603718","3167239.35128",
"2021-05-01 00:00","2931.1219088639","3167239.35128",
"2021-05-02 00:00","3170.9703294061","3166588.638747",
"2021-05-03 00:00","3259.8703915628","3166371.527797",
"2021-05-04 00:00","3307.9534015317","3166154.7270055",
"2021-05-05 00:00","3555.7964418536","3165937.9262139997",
"2021-05-06 00:00","3565.1761338199","3165721.1254224996",
"2021-05-07 00:00","3637.5884538548","3165721.1254224996",
"2021-05-08 00:00","3878.6748705467","3165721.1254224996",
"2021-05-09 00:00","4143.0935257398","3165070.723048",
"2021-05-10 00:00","4010.7127199041","3164853.9222565",
"2021-05-11 00:00","4198.1911249214","3164637.121465",
"2021-05-12 00:00","3749.3842973945","3164420.3206735",
"2021-05-13 00:00","4136.4368266373","3164203.519882",
"2021-05-14 00:00","3877.279587656","3164203.519882",
"2021-05-15 00:00","3639.7107789714","3164203.519882",
"2021-05-16 00:00","3279.8659605624","3163553.427666",
"2021-05-17 00:00","3349.987596025","3163336.6268745004",
"2021-05-18 00:00","2789.8447164914","3163120.1362415003",
