时间,币价,发行量
"2019-05-06 00:00","173.051936","103565266.4682300000",
"2019-05-07 00:00","170.727188","103577971.7182300000",
"2019-05-08 00:00","169.416419","103590732.9057300000",
"2019-05-09 00:00","173.289118","103603642.5932300000",
"2019-05-10 00:00","192.217108","103616464.2807300000",
"2019-05-11 00:00","184.79146","103629376.0307300000",
"2019-05-12 00:00","200.311452","103642126.7807300000",
"2019-05-13 00:00","207.943886","103655095.6557300000",
"2019-05-14 00:00","233.560616","103668065.2182300000",
"2019-05-15 00:00","266.003097","103680782.4057300000",
"2019-05-16 00:00","234.578683","103693694.0932300000",
"2019-05-17 00:00","240.696393","103706526.7807300000",
"2019-05-18 00:00","255.534309","103719329.0932300000",
"2019-05-19 00:00","248.877597","103732056.9682300000",
"2019-05-20 00:00","253.618294","103744766.3432300000",
"2019-05-21 00:00","257.330263","103757599.9682300000",
"2019-05-22 00:00","245.373695","103770289.9682300000",
"2019-05-23 00:00","255.104464","103783104.1557300000",
"2019-05-24 00:00","253.7139","103796182.9057300000",
"2019-05-25 00:00","251.702904","103809068.9682300000",
"2019-05-26 00:00","274.213762","103821885.1557300000",
"2019-05-27 00:00","272.738641","103834600.0932300000",
"2019-05-28 00:00","277.295377","103847700.5932300000",
"2019-05-29 00:00","289.071218","103860331.5932300000",
"2019-05-30 00:00","263.649644","103873313.4057300000",
"2019-05-31 00:00","270.179282","103886079.5932300000",
"2019-06-01 00:00","275.127973","103898880.6557300000",
"2019-06-02 00:00","259.21266","103911556.7182300000",
"2019-06-03 00:00","250.175657","103924387.6557300000",
"2019-06-04 00:00","240.42393","103937216.3432300000",
"2019-06-05 00:00","243.335334","103950150.0932300000",
"2019-06-06 00:00","248.072496","103962870.7807300000",
"2019-06-07 00:00","246.146546","103975575.0932300000",
"2019-06-08 00:00","235.618669","103988339.2182300000",
"2019-06-09 00:00","241.575639","104001265.7807300000",
"2019-06-10 00:00","239.868119","104014034.5932300000",
"2019-06-11 00:00","252.829961","104026667.0307300000",
"2019-06-12 00:00","259.623254","104039392.4682300000",
"2019-06-13 00:00","256.900989","104052112.2182300000",
"2019-06-14 00:00","263.179704","104064736.0307300000",
"2019-06-15 00:00","270.36733","104077530.7182300000",
"2019-06-16 00:00","270.324708","104090134.4057300000",
"2019-06-17 00:00","265.08936","104102763.7182300000",
"2019-06-18 00:00","265.879803","104115580.5307300000",
"2019-06-19 00:00","267.151843","104127972.9057300000",
"2019-06-20 00:00","284.211442","104140757.0932300000",
"2019-06-21 00:00","305.327227","104155079.9682300000",
"2019-06-22 00:00","309.989095","104167912.0307300000",
"2019-06-23 00:00","306.85597","104180814.2182300000",
"2019-06-24 00:00","310.321524","104193688.0307300000",
"2019-06-25 00:00","343.541425","104206560.9682300000",
"2019-06-26 00:00","309.884689","104219363.8432300000",
"2019-06-27 00:00","307.374208","104232185.5307300000",
"2019-06-28 00:00","305.685128","104245080.2807300000",
"2019-06-29 00:00","297.731954","104257961.7182300000",
"2019-06-30 00:00","284.25052","104270857.9057300000",
"2019-07-01 00:00","284.91476","104283702.4057300000",
"2019-07-02 00:00","293.765331","104296524.5932300000",
"2019-07-03 00:00","293.61379","104309366.7807300000",
"2019-07-04 00:00","289.189791","104322153.3432300000",
"2019-07-05 00:00","293.440077","104335149.7807300000",
"2019-07-06 00:00","291.797265","104348110.5307300000",
"2019-07-07 00:00","305.465894","104360978.9057300000",
"2019-07-08 00:00","308.270219","104373875.2807300000",
"2019-07-09 00:00","287.863041","104386780.0932300000",
"2019-07-10 00:00","271.371568","104399682.6557300000",
"2019-07-11 00:00","269.472789","104412391.4057300000",
"2019-07-12 00:00","272.196206","104425296.3432300000",
"2019-07-13 00:00","239.807859","104438373.5932300000",
"2019-07-14 00:00","229.949112","104451095.5932300000",
"2019-07-15 00:00","222.146136","104463765.9682300000",
"2019-07-16 00:00","215.158092","104476561.0932300000",
"2019-07-17 00:00","223.837185","104489544.8432300000",
"2019-07-18 00:00","219.970908","104502301.1557300000",
"2019-07-19 00:00","228.522555","104515335.2182300000",
"2019-07-20 00:00","224.334508","104528166.1557300000",
"2019-07-21 00:00","218.338713","104541154.4057300000",
"2019-07-22 00:00","213.174683","104554134.7182300000",
"2019-07-23 00:00","217.05058","104567036.1557300000",
"2019-07-24 00:00","224.411863","104579783.4682300000",
"2019-07-25 00:00","220.416665","104592714.0307300000",
"2019-07-26 00:00","210.284966","104605694.8432300000",
"2019-07-27 00:00","214.261265","104618634.9682300000",
"2019-07-28 00:00","211.275162","104631419.8432300000",
"2019-07-29 00:00","213.80857","104644451.0932300000",
"2019-07-30 00:00","215.989517","104657287.2182300000",
"2019-07-31 00:00","213.988181","104670004.5307300000",
"2019-08-01 00:00","220.563601","104683054.4057300000",
"2019-08-02 00:00","222.494399","104696025.7182300000",
"2019-08-03 00:00","220.441708","104708922.5307300000",
"2019-08-04 00:00","230.320076","104721840.5932300000",
"2019-08-05 00:00","229.200377","104734766.6557300000",
"2019-08-06 00:00","223.880357","104747757.4682300000",
"2019-08-07 00:00","223.768844","104760553.3432300000",
"2019-08-08 00:00","211.6105","104773419.2807300000",
"2019-08-09 00:00","205.276508","104786438.5932300000",
"2019-08-10 00:00","211.33601","104799310.0932300000",
"2019-08-11 00:00","211.778739","104812304.2807300000",
"2019-08-12 00:00","206.359584","104825184.4682300000",
"2019-08-13 00:00","206.042685","104838130.3432300000",
"2019-08-14 00:00","184.654374","104850981.7807300000",
"2019-08-15 00:00","183.936404","104863908.3432300000",
"2019-08-16 00:00","185.277837","104876893.4682300000",
"2019-08-17 00:00","195.182812","104889792.7182300000",
"2019-08-18 00:00","200.744772","104902568.2807300000",
"2019-08-19 00:00","197.340342","104915460.2807300000",
"2019-08-20 00:00","184.866479","104928385.4682300000",
"2019-08-21 00:00","191.444291","104941209.7182300000",
"2019-08-22 00:00","191.931476","104954174.9057300000",
"2019-08-23 00:00","188.037839","104966829.3432300000",
"2019-08-24 00:00","189.136394","104979998.5307300000",
"2019-08-25 00:00","190.458195","104992752.5307300000",
"2019-08-26 00:00","188.067131","105005608.7182300000",
"2019-08-27 00:00","188.232301","105018458.0932300000",
"2019-08-28 00:00","168.909171","105031472.2807300000",
"2019-08-29 00:00","170.11828","105044329.5307300000",
"2019-08-30 00:00","169.93247","105057196.9682300000",
"2019-08-31 00:00","170.507929","105070029.0932300000",
"2019-09-01 00:00","173.713949","105082921.0307300000",
"2019-09-02 00:00","181.84137","105095748.2807300000",
"2019-09-03 00:00","177.35518","105108557.3432300000",
"2019-09-04 00:00","171.147639","105121482.4057300000",
"2019-09-05 00:00","175.819302","105134277.9057300000",
"2019-09-06 00:00","173.649796","105147161.4682300000",
"2019-09-07 00:00","180.274539","105159992.2182300000",
"2019-09-08 00:00","181.373282","105172884.4057300000",
"2019-09-09 00:00","179.528371","105185687.0932300000",
