时间,币价,区块大小
"2016-05-13 00:00","10.50657082","1682.8916000000",
"2016-05-14 00:00","10.23973179","1539.6884000000",
"2016-05-15 00:00","9.9623518","1491.4088000000",
"2016-05-16 00:00","11.17129898","1515.0270000000",
"2016-05-17 00:00","12.1987505","1688.8397000000",
"2016-05-18 00:00","13.55858231","1576.2268000000",
"2016-05-19 00:00","14.76970387","1677.1544000000",
"2016-05-20 00:00","13.63562298","1672.6700000000",
"2016-05-21 00:00","14.01504421","1493.9200000000",
"2016-05-22 00:00","14.28610992","1568.3840000000",
"2016-05-23 00:00","13.46151066","1528.3171000000",
"2016-05-24 00:00","12.73231983","1669.8520000000",
"2016-05-25 00:00","12.52603245","1733.2441000000",
"2016-05-26 00:00","12.43041801","1726.5808000000",
"2016-05-27 00:00","11.29575253","2435.9360000000",
"2016-05-28 00:00","11.89294243","1675.3814000000",
"2016-05-29 00:00","12.35042667","1543.3301000000",
"2016-05-30 00:00","12.72528076","1593.7335000000",
"2016-05-31 00:00","14.07725048","1562.1364000000",
"2016-06-01 00:00","14.00150299","1453.2372000000",
"2016-06-02 00:00","13.73803997","1428.5993000000",
"2016-06-03 00:00","13.8466959","1408.9919000000",
"2016-06-04 00:00","13.74044323","1396.0748000000",
"2016-06-05 00:00","13.97502708","1425.6341000000",
"2016-06-06 00:00","13.93407631","1692.5768000000",
"2016-06-07 00:00","14.51203537","1436.9470000000",
"2016-06-08 00:00","14.41773224","1476.5053000000",
"2016-06-09 00:00","14.39861774","1437.3214000000",
"2016-06-10 00:00","13.90864468","1381.5247000000",
"2016-06-11 00:00","14.19161892","1462.5580000000",
"2016-06-12 00:00","15.74371529","1599.2728000000",
"2016-06-13 00:00","17.60272408","1713.3838000000",
"2016-06-14 00:00","18.89321709","1522.9322000000",
"2016-06-15 00:00","18.35429001","1603.9076000000",
"2016-06-16 00:00","20.58860207","2137.9072000000",
"2016-06-17 00:00","15.37683868","2043.8626000000",
"2016-06-18 00:00","11.33068657","1624.0842000000",
"2016-06-19 00:00","12.23420715","1708.7948000000",
"2016-06-20 00:00","11.83953381","1628.5213000000",
"2016-06-21 00:00","13.30673122","1614.3075000000",
"2016-06-22 00:00","13.09510899","1513.3547000000",
"2016-06-23 00:00","13.67622185","1637.7259000000",
"2016-06-24 00:00","14.33205795","1414.5418000000",
"2016-06-25 00:00","14.28302765","1452.6180000000",
"2016-06-26 00:00","13.85019493","1409.6183000000",
"2016-06-27 00:00","13.88386536","1482.4498000000",
"2016-06-28 00:00","12.17556","1792.0389000000",
"2016-06-29 00:00","12.61120892","2367.0782000000",
"2016-06-30 00:00","12.46150208","1379.8636000000",
"2016-07-01 00:00","12.19946003","1382.3923000000",
"2016-07-02 00:00","12.128438","1403.6420000000",
"2016-07-03 00:00","11.7202177","1414.7938000000",
"2016-07-04 00:00","11.47100258","1470.3533000000",
"2016-07-05 00:00","10.61136818","1408.6769000000",
"2016-07-06 00:00","10.52893353","1414.1236000000",
"2016-07-07 00:00","10.10936642","1580.6401000000",
"2016-07-08 00:00","11.39457512","1416.7455000000",
"2016-07-09 00:00","10.96547318","1407.0323000000",
"2016-07-10 00:00","10.94762325","1420.6436000000",
"2016-07-11 00:00","10.45902729","1566.6971000000",
"2016-07-12 00:00","10.51609421","1356.7409000000",
"2016-07-13 00:00","10.50051498","1536.0575000000",
"2016-07-14 00:00","11.51319122","1457.4881000000",
"2016-07-15 00:00","11.95162392","1349.4761000000",
"2016-07-16 00:00","11.65283012","1263.7885000000",
"2016-07-17 00:00","11.15869617","1397.4542000000",
"2016-07-18 00:00","11.03442764","1501.8993000000",
"2016-07-19 00:00","11.61912441","1717.9260000000",
"2016-07-20 00:00","12.45060062","1522.1856000000",
"2016-07-21 00:00","12.65074444","1640.9031000000",
"2016-07-22 00:00","14.66192436","1496.2165000000",
"2016-07-23 00:00","14.29966831","1796.8996000000",
"2016-07-24 00:00","12.74947929","1737.3295000000",
"2016-07-25 00:00","13.83611584","1946.1141000000",
"2016-07-26 00:00","11.98951626","1705.6892000000",
"2016-07-27 00:00","12.97279072","1609.7183000000",
"2016-07-28 00:00","12.84363079","1598.0201000000",
"2016-07-29 00:00","12.79463482","1460.2207000000",
"2016-07-30 00:00","12.46101952","1585.3321000000",
"2016-07-31 00:00","11.87594414","1560.7133000000",
"2016-08-01 00:00","10.94160366","1687.3992000000",
"2016-08-02 00:00","8.78727818","1665.3270000000",
"2016-08-03 00:00","10.29389095","1616.6416000000",
"2016-08-04 00:00","11.0427866","1527.0676000000",
"2016-08-05 00:00","10.92538166","1465.2163000000",
"2016-08-06 00:00","10.88107681","1473.1901000000",
"2016-08-07 00:00","10.91155529","1503.8052000000",
"2016-08-08 00:00","11.2454319","1591.8261000000",
"2016-08-09 00:00","12.2443018","1606.7876000000",
"2016-08-10 00:00","12.14320564","1620.5056000000",
"2016-08-11 00:00","11.69089794","1559.0091000000",
"2016-08-12 00:00","11.77854824","1430.9405000000",
"2016-08-13 00:00","11.57128239","1406.0670000000",
"2016-08-14 00:00","11.19476032","1466.7501000000",
"2016-08-15 00:00","11.21837139","1621.4440000000",
"2016-08-16 00:00","11.13965511","1532.2822000000",
