时间,币价,平均Gas价格
"2018-04-03 00:00","416.89306641","2445587332.6954000000",
"2018-04-04 00:00","380.5428772","2812790553.3940000000",
"2018-04-05 00:00","383.23168945","2354662926.9788000000",
"2018-04-06 00:00","370.28515625","2048210773.2921000000",
"2018-04-07 00:00","385.3142395","1889013628.4036000000",
"2018-04-08 00:00","400.50817871","1921107512.4247000000",
"2018-04-09 00:00","398.52563477","2100310977.9779000000",
"2018-04-10 00:00","414.24258423","1898081655.0941000000",
"2018-04-11 00:00","430.54003906","1929459957.8171000000",
"2018-04-12 00:00","492.9413147","2627922423.3083000000",
"2018-04-13 00:00","492.73477173","2071471980.8624000000",
"2018-04-14 00:00","501.47833252","2075121606.6159000000",
"2018-04-15 00:00","531.70196533","2229840014.4235000000",
"2018-04-16 00:00","511.146698","2176716654.5823000000",
"2018-04-17 00:00","502.89364624","2601750934.2048000000",
"2018-04-18 00:00","524.78881836","2648714213.5418000000",
"2018-04-19 00:00","567.88903809","3213935975.5867000000",
"2018-04-20 00:00","615.71801758","1988654141.8773000000",
"2018-04-21 00:00","605.39532471","2134069946.8980000000",
"2018-04-22 00:00","621.8604126","2462080964.2498000000",
"2018-04-23 00:00","642.54797363","3058787706.9164000000",
"2018-04-24 00:00","708.15808105","3261954155.2965000000",
"2018-04-25 00:00","615.41564941","3137416262.0496000000",
"2018-04-26 00:00","662.80865479","3751396852.5128000000",
"2018-04-27 00:00","647.03192139","3704253294.3200000000",
"2018-04-28 00:00","683.67791748","3959426299.5978000000",
"2018-04-29 00:00","688.88079834","4260400082.3816000000",
"2018-04-30 00:00","669.92364502","3718842622.4948000000",
"2018-05-01 00:00","673.61328125","3742972941.9305000000",
"2018-05-02 00:00","687.14935303","4371779767.7803000000",
"2018-05-03 00:00","779.54278564","5381460804.3262000000",
"2018-05-04 00:00","785.62414551","3923158577.2456000000",
"2018-05-05 00:00","816.11968994","3189773489.7932000000",
"2018-05-06 00:00","792.31085205","3563699401.7954000000",
"2018-05-07 00:00","753.72546387","3645587583.1444000000",
"2018-05-08 00:00","752.85717773","5268655276.6494000000",
"2018-05-09 00:00","752.27526855","7316708358.6820000000",
"2018-05-10 00:00","727.27740479","7771578956.0501000000",
"2018-05-11 00:00","679.58630371","5221867991.7445000000",
"2018-05-12 00:00","686.04827881","5494323276.9132000000",
"2018-05-13 00:00","733.49645996","7087000634.1761000000",
"2018-05-14 00:00","730.5491333","7476670186.2498000000",
"2018-05-15 00:00","708.87139893","8167950244.6292000000",
"2018-05-16 00:00","707.05023193","9509482465.8876000000",
"2018-05-17 00:00","672.65655518","9579343185.3675000000",
"2018-05-18 00:00","694.36688232","8324016126.2176000000",
"2018-05-19 00:00","696.52954102","7291420490.3013000000",
"2018-05-20 00:00","715.36877441","7514749344.0816000000",
"2018-05-21 00:00","699.22198486","9385724790.7077000000",
"2018-05-22 00:00","647.74053955","9687727531.4463000000",
"2018-05-23 00:00","583.58459473","9019404010.4526000000",
"2018-05-24 00:00","601.75463867","7476718016.4983000000",
"2018-05-25 00:00","586.73449707","6786027403.4289000000",
"2018-05-26 00:00","587.28039551","5504382915.0793000000",
"2018-05-27 00:00","572.66790771","9790295650.1452000000",
"2018-05-28 00:00","516.03570557","10108006005.3178000000",
"2018-05-29 00:00","565.38775635","10868610611.7374000000",
"2018-05-30 00:00","559.59008789","13902898371.7133000000",
"2018-05-31 00:00","577.64489746","11407187208.2018000000",
"2018-06-01 00:00","580.04315186","6993388511.7756000000",
"2018-06-02 00:00","591.80847168","6472691330.8993000000",
"2018-06-03 00:00","619.43743896","8336913258.2509000000",
"2018-06-04 00:00","592.98468018","7503386160.1284000000",
"2018-06-05 00:00","609.30285645","10626741678.9364000000",
"2018-06-06 00:00","607.12353516","7433490727.6317000000",
"2018-06-07 00:00","605.18737793","6011150990.0528000000",
"2018-06-08 00:00","601.07727051","4945641001.8401000000",
"2018-06-09 00:00","597.56231689","4512380110.6410000000",
"2018-06-10 00:00","526.47912598","3854706269.6541000000",
"2018-06-11 00:00","533.28424072","4096214760.3572000000",
"2018-06-12 00:00","496.84338379","4754065530.7088000000",
"2018-06-13 00:00","477.49401855","8090574755.4010000000",
"2018-06-14 00:00","519.74188232","8853680245.9147000000",
"2018-06-15 00:00","491.00427246","3549665131.4684000000",
"2018-06-16 00:00","499.64233398","2805731142.6954000000",
"2018-06-17 00:00","500.44848633","2626783876.4997000000",
"2018-06-18 00:00","518.890625","4054648525.4293000000",
"2018-06-19 00:00","537.95739746","3336891684.7024000000",
"2018-06-20 00:00","536.26782227","3807449374.6499000000",
"2018-06-21 00:00","527.36657715","3851653433.6290000000",
"2018-06-22 00:00","465.81680298","3225241780.0549000000",
"2018-06-23 00:00","474.51977539","3570237078.3584000000",
"2018-06-24 00:00","457.67190552","5500085973.1822000000",
"2018-06-25 00:00","460.30984497","4284158880.1608000000",
"2018-06-26 00:00","432.77172852","4181999223.5777000000",
"2018-06-27 00:00","442.36489868","3899037880.1503000000",
"2018-06-28 00:00","422.36499023","4374710014.0970000000",
"2018-06-29 00:00","436.00900269","24961752117.6693000000",
"2018-06-30 00:00","455.17999268","41646525265.4941000000",
"2018-07-01 00:00","453.91799927","64133554160.7320000000",
"2018-07-02 00:00","475.34698486","54520681542.1518000000",
"2018-07-03 00:00","464.19500732","39651346468.2650000000",
"2018-07-04 00:00","467.31799316","30308102569.1235000000",
"2018-07-05 00:00","474.4119873","48554442095.2906000000",
"2018-07-06 00:00","474.01199341","41686651781.0603000000",
"2018-07-07 00:00","491.66000366","17503560656.5261000000",
"2018-07-08 00:00","489.11898804","11488861760.1018000000",
"2018-07-09 00:00","476.68200684","8571351975.6524000000",
"2018-07-10 00:00","434.42401123","9514877651.5360000000",
"2018-07-11 00:00","446.51800537","16806626398.0839000000",
"2018-07-12 00:00","430.07400513","19964951568.9342000000",
"2018-07-13 00:00","434.02700806","43580346206.8611000000",
"2018-07-14 00:00","436.08599854","44325038735.5925000000",
"2018-07-15 00:00","449.8500061","5393562639.0896000000",
"2018-07-16 00:00","480.6579895","3612991328.9365000000",
"2018-07-17 00:00","501.00201416","3522871557.0335000000",
"2018-07-18 00:00","480.51300049","3159025442.6753000000",
"2018-07-19 00:00","469.61898804","4458849560.8794000000",
