时间,币价,区块数
"2016-05-30 00:00","12.72528076","5936.0000000000",
"2016-05-31 00:00","14.07725048","6039.0000000000",
"2016-06-01 00:00","14.00150299","6072.0000000000",
"2016-06-02 00:00","13.73803997","6029.0000000000",
"2016-06-03 00:00","13.8466959","6016.0000000000",
"2016-06-04 00:00","13.74044323","5963.0000000000",
"2016-06-05 00:00","13.97502708","6108.0000000000",
"2016-06-06 00:00","13.93407631","5990.0000000000",
"2016-06-07 00:00","14.51203537","6091.0000000000",
"2016-06-08 00:00","14.41773224","6092.0000000000",
"2016-06-09 00:00","14.39861774","5902.0000000000",
"2016-06-10 00:00","13.90864468","6114.0000000000",
"2016-06-11 00:00","14.19161892","6065.0000000000",
"2016-06-12 00:00","15.74371529","6084.0000000000",
"2016-06-13 00:00","17.60272408","6035.0000000000",
"2016-06-14 00:00","18.89321709","6007.0000000000",
"2016-06-15 00:00","18.35429001","6015.0000000000",
"2016-06-16 00:00","20.58860207","5849.0000000000",
"2016-06-17 00:00","15.37683868","5889.0000000000",
"2016-06-18 00:00","11.33068657","6222.0000000000",
"2016-06-19 00:00","12.23420715","5949.0000000000",
"2016-06-20 00:00","11.83953381","5999.0000000000",
"2016-06-21 00:00","13.30673122","6139.0000000000",
"2016-06-22 00:00","13.09510899","6003.0000000000",
"2016-06-23 00:00","13.67622185","6042.0000000000",
"2016-06-24 00:00","14.33205795","5998.0000000000",
"2016-06-25 00:00","14.28302765","6052.0000000000",
"2016-06-26 00:00","13.85019493","6052.0000000000",
"2016-06-27 00:00","13.88386536","6067.0000000000",
"2016-06-28 00:00","12.17556","5991.0000000000",
"2016-06-29 00:00","12.61120892","5985.0000000000",
"2016-06-30 00:00","12.46150208","6127.0000000000",
"2016-07-01 00:00","12.19946003","6003.0000000000",
"2016-07-02 00:00","12.128438","6045.0000000000",
"2016-07-03 00:00","11.7202177","6067.0000000000",
"2016-07-04 00:00","11.47100258","5949.0000000000",
"2016-07-05 00:00","10.61136818","6088.0000000000",
"2016-07-06 00:00","10.52893353","6036.0000000000",
"2016-07-07 00:00","10.10936642","5996.0000000000",
"2016-07-08 00:00","11.39457512","6126.0000000000",
"2016-07-09 00:00","10.96547318","6046.0000000000",
"2016-07-10 00:00","10.94762325","6029.0000000000",
"2016-07-11 00:00","10.45902729","6006.0000000000",
"2016-07-12 00:00","10.51609421","6086.0000000000",
"2016-07-13 00:00","10.50051498","6001.0000000000",
"2016-07-14 00:00","11.51319122","5988.0000000000",
"2016-07-15 00:00","11.95162392","6081.0000000000",
"2016-07-16 00:00","11.65283012","6029.0000000000",
"2016-07-17 00:00","11.15869617","6109.0000000000",
"2016-07-18 00:00","11.03442764","5970.0000000000",
"2016-07-19 00:00","11.61912441","5946.0000000000",
"2016-07-20 00:00","12.45060062","6154.0000000000",
"2016-07-21 00:00","12.65074444","5957.0000000000",
"2016-07-22 00:00","14.66192436","6093.0000000000",
"2016-07-23 00:00","14.29966831","5937.0000000000",
"2016-07-24 00:00","12.74947929","6030.0000000000",
"2016-07-25 00:00","13.83611584","5809.0000000000",
"2016-07-26 00:00","11.98951626","6175.0000000000",
"2016-07-27 00:00","12.97279072","6081.0000000000",
"2016-07-28 00:00","12.84363079","5979.0000000000",
