时间,币价,出块耗时
"2016-03-26 00:00","10.97396755","14.3000000000",
"2016-03-27 00:00","10.4192009","14.4000000000",
"2016-03-28 00:00","11.66560268","14.4000000000",
"2016-03-29 00:00","11.6564436","14.3000000000",
"2016-03-30 00:00","11.952878","14.3000000000",
"2016-03-31 00:00","11.40353775","14.2000000000",
"2016-04-01 00:00","11.66358757","14.6000000000",
"2016-04-02 00:00","11.598876","14.3000000000",
"2016-04-03 00:00","11.61833286","14.2000000000",
"2016-04-04 00:00","11.15727425","14.3000000000",
"2016-04-05 00:00","10.43812466","14.4000000000",
"2016-04-06 00:00","10.68538189","14.5000000000",
"2016-04-07 00:00","10.06968307","14.2000000000",
"2016-04-08 00:00","9.71958637","14.6000000000",
"2016-04-09 00:00","9.15061855","14.2000000000",
"2016-04-10 00:00","8.93634224","14.6000000000",
"2016-04-11 00:00","8.64378929","14.4000000000",
"2016-04-12 00:00","7.44231272","14.4000000000",
"2016-04-13 00:00","8.04442024","14.3000000000",
"2016-04-14 00:00","8.38724041","14.3000000000",
"2016-04-15 00:00","8.24278069","14.4000000000",
"2016-04-16 00:00","8.60949898","14.4000000000",
"2016-04-17 00:00","9.30909824","14.3000000000",
"2016-04-18 00:00","9.03599834","14.5000000000",
"2016-04-19 00:00","8.71487713","14.3000000000",
"2016-04-20 00:00","8.46579361","14.4000000000",
"2016-04-21 00:00","8.10217285","14.3000000000",
"2016-04-22 00:00","7.82126379","14.3000000000",
"2016-04-23 00:00","8.29479218","14.4000000000",
"2016-04-24 00:00","8.00135231","14.2000000000",
"2016-04-25 00:00","7.5543375","14.5000000000",
"2016-04-26 00:00","7.39704084","14.3000000000",
"2016-04-27 00:00","7.75997066","14.3000000000",
"2016-04-28 00:00","7.17252827","14.3000000000",
"2016-04-29 00:00","7.45728827","14.3000000000",
"2016-04-30 00:00","8.81397915","14.5000000000",
"2016-05-01 00:00","8.8465023","14.2000000000",
"2016-05-02 00:00","10.16323185","14.3000000000",
"2016-05-03 00:00","9.31127167","14.4000000000",
"2016-05-04 00:00","9.41376877","14.3000000000",
"2016-05-05 00:00","9.8261013","14.3000000000",
"2016-05-06 00:00","9.34663868","14.4000000000",
"2016-05-07 00:00","9.37050915","14.3000000000",
"2016-05-08 00:00","9.48293018","14.3000000000",
"2016-05-09 00:00","9.29773235","14.4000000000",
"2016-05-10 00:00","9.36151505","14.6000000000",
"2016-05-11 00:00","9.99627781","14.2000000000",
"2016-05-12 00:00","10.05779934","14.2000000000",
"2016-05-13 00:00","10.50657082","14.5000000000",
"2016-05-14 00:00","10.23973179","14.4000000000",
"2016-05-15 00:00","9.9623518","14.5000000000",
"2016-05-16 00:00","11.17129898","14.2000000000",
"2016-05-17 00:00","12.1987505","14.3000000000",
"2016-05-18 00:00","13.55858231","14.4000000000",
"2016-05-19 00:00","14.76970387","14.3000000000",
"2016-05-20 00:00","13.63562298","14.4000000000",
"2016-05-21 00:00","14.01504421","14.2000000000",
"2016-05-22 00:00","14.28610992","14.4000000000",
"2016-05-23 00:00","13.46151066","14.4000000000",
"2016-05-24 00:00","12.73231983","14.3000000000",
"2016-05-25 00:00","12.52603245","14.4000000000",
"2016-05-26 00:00","12.43041801","14.3000000000",
"2016-05-27 00:00","11.29575253","14.4000000000",
"2016-05-28 00:00","11.89294243","14.4000000000",
"2016-05-29 00:00","12.35042667","14.4000000000",
"2016-05-30 00:00","12.72528076","14.6000000000",
"2016-05-31 00:00","14.07725048","14.3000000000",
"2016-06-01 00:00","14.00150299","14.2000000000",
"2016-06-02 00:00","13.73803997","14.3000000000",
"2016-06-03 00:00","13.8466959","14.4000000000",
"2016-06-04 00:00","13.74044323","14.5000000000",
"2016-06-05 00:00","13.97502708","14.1000000000",
"2016-06-06 00:00","13.93407631","14.4000000000",
"2016-06-07 00:00","14.51203537","14.2000000000",
"2016-06-08 00:00","14.41773224","14.2000000000",
"2016-06-09 00:00","14.39861774","14.6000000000",
"2016-06-10 00:00","13.90864468","14.1000000000",
"2016-06-11 00:00","14.19161892","14.2000000000",
"2016-06-12 00:00","15.74371529","14.2000000000",
"2016-06-13 00:00","17.60272408","14.3000000000",
"2016-06-14 00:00","18.89321709","14.4000000000",
"2016-06-15 00:00","18.35429001","14.4000000000",
"2016-06-16 00:00","20.58860207","14.8000000000",
"2016-06-17 00:00","15.37683868","14.7000000000",
"2016-06-18 00:00","11.33068657","13.9000000000",
"2016-06-19 00:00","12.23420715","14.5000000000",
"2016-06-20 00:00","11.83953381","14.4000000000",
"2016-06-21 00:00","13.30673122","14.1000000000",
"2016-06-22 00:00","13.09510899","14.4000000000",
"2016-06-23 00:00","13.67622185","14.3000000000",
"2016-06-24 00:00","14.33205795","14.4000000000",
"2016-06-25 00:00","14.28302765","14.3000000000",
"2016-06-26 00:00","13.85019493","14.3000000000",
"2016-06-27 00:00","13.88386536","14.2000000000",
"2016-06-28 00:00","12.17556","14.4000000000",
"2016-06-29 00:00","12.61120892","14.4000000000",
"2016-06-30 00:00","12.46150208","14.1000000000",
"2016-07-01 00:00","12.19946003","14.4000000000",
"2016-07-02 00:00","12.128438","14.3000000000",
"2016-07-03 00:00","11.7202177","14.2000000000",
"2016-07-04 00:00","11.47100258","14.5000000000",
"2016-07-05 00:00","10.61136818","14.2000000000",
"2016-07-06 00:00","10.52893353","14.3000000000",
"2016-07-07 00:00","10.10936642","14.4000000000",
"2016-07-08 00:00","11.39457512","14.1000000000",
"2016-07-09 00:00","10.96547318","14.3000000000",
"2016-07-10 00:00","10.94762325","14.3000000000",
"2016-07-11 00:00","10.45902729","14.4000000000",
"2016-07-12 00:00","10.51609421","14.2000000000",
"2016-07-13 00:00","10.50051498","14.4000000000",
"2016-07-14 00:00","11.51319122","14.4000000000",
"2016-07-15 00:00","11.95162392","14.2000000000",
"2016-07-16 00:00","11.65283012","14.3000000000",
"2016-07-17 00:00","11.15869617","14.1000000000",
"2016-07-18 00:00","11.03442764","14.5000000000",
"2016-07-19 00:00","11.61912441","14.5000000000",
"2016-07-20 00:00","12.45060062","14.0000000000",
"2016-07-21 00:00","12.65074444","14.5000000000",
"2016-07-22 00:00","14.66192436","14.2000000000",
"2016-07-23 00:00","14.29966831","14.6000000000",
"2016-07-24 00:00","12.74947929","14.3000000000",
"2016-07-25 00:00","13.83611584","14.9000000000",
"2016-07-26 00:00","11.98951626","14.0000000000",
"2016-07-27 00:00","12.97279072","14.2000000000",
"2016-07-28 00:00","12.84363079","14.5000000000",
"2016-07-29 00:00","12.79463482","14.4000000000",
"2016-07-30 00:00","12.46101952","14.3000000000",
"2016-07-31 00:00","11.87594414","14.5000000000",
"2016-08-01 00:00","10.94160366","14.7000000000",
"2016-08-02 00:00","8.78727818","14.4000000000",
"2016-08-03 00:00","10.29389095","14.0000000000",
"2016-08-04 00:00","11.0427866","14.2000000000",
"2016-08-05 00:00","10.92538166","14.5000000000",
"2016-08-06 00:00","10.88107681","14.2000000000",
"2016-08-07 00:00","10.91155529","14.3000000000",
"2016-08-08 00:00","11.2454319","14.1000000000",
