时间,币价,平均单笔手续费
"2016-05-19 00:00","14.76970387","0.0008417600",
"2016-05-20 00:00","13.63562298","0.0008207000",
"2016-05-21 00:00","14.01504421","0.0007424100",
"2016-05-22 00:00","14.28610992","0.0006764900",
"2016-05-23 00:00","13.46151066","0.0006664000",
"2016-05-24 00:00","12.73231983","0.0007048100",
"2016-05-25 00:00","12.52603245","0.0006952200",
"2016-05-26 00:00","12.43041801","0.0007753300",
"2016-05-27 00:00","11.29575253","0.0011543100",
"2016-05-28 00:00","11.89294243","0.0008452500",
"2016-05-29 00:00","12.35042667","0.0007420900",
"2016-05-30 00:00","12.72528076","0.0007018900",
"2016-05-31 00:00","14.07725048","0.0007389900",
"2016-06-01 00:00","14.00150299","0.0006519500",
"2016-06-02 00:00","13.73803997","0.0006336300",
"2016-06-03 00:00","13.8466959","0.0006437900",
"2016-06-04 00:00","13.74044323","0.0006290600",
"2016-06-05 00:00","13.97502708","0.0006639700",
"2016-06-06 00:00","13.93407631","0.0014625200",
"2016-06-07 00:00","14.51203537","0.0007031600",
"2016-06-08 00:00","14.41773224","0.0007250200",
"2016-06-09 00:00","14.39861774","0.0007198000",
"2016-06-10 00:00","13.90864468","0.0007377700",
"2016-06-11 00:00","14.19161892","0.0006849100",
"2016-06-12 00:00","15.74371529","0.0007991000",
"2016-06-13 00:00","17.60272408","0.0007642600",
"2016-06-14 00:00","18.89321709","0.0007041800",
"2016-06-15 00:00","18.35429001","0.0009406200",
"2016-06-16 00:00","20.58860207","0.0034452100",
"2016-06-17 00:00","15.37683868","0.0042990200",
"2016-06-18 00:00","11.33068657","0.0010606000",
"2016-06-19 00:00","12.23420715","0.0010986700",
"2016-06-20 00:00","11.83953381","0.0017506200",
"2016-06-21 00:00","13.30673122","0.0010582100",
"2016-06-22 00:00","13.09510899","0.0007630600",
"2016-06-23 00:00","13.67622185","0.0008697500",
"2016-06-24 00:00","14.33205795","0.0007715000",
"2016-06-25 00:00","14.28302765","0.0006600800",
"2016-06-26 00:00","13.85019493","0.0006973300",
"2016-06-27 00:00","13.88386536","0.0007449700",
"2016-06-28 00:00","12.17556","0.0011394800",
"2016-06-29 00:00","12.61120892","0.0013742700",
"2016-06-30 00:00","12.46150208","0.0011339400",
"2016-07-01 00:00","12.19946003","0.0006209200",
"2016-07-02 00:00","12.128438","0.0007728700",
"2016-07-03 00:00","11.7202177","0.0006701600",
"2016-07-04 00:00","11.47100258","0.0007679900",
"2016-07-05 00:00","10.61136818","0.0007834300",
"2016-07-06 00:00","10.52893353","0.0006582100",
"2016-07-07 00:00","10.10936642","0.0009256900",
"2016-07-08 00:00","11.39457512","0.0012154100",
"2016-07-09 00:00","10.96547318","0.0007024300",
"2016-07-10 00:00","10.94762325","0.0007399500",
"2016-07-11 00:00","10.45902729","0.0007997500",
"2016-07-12 00:00","10.51609421","0.0006924900",
"2016-07-13 00:00","10.50051498","0.0007570800",
"2016-07-14 00:00","11.51319122","0.0007090000",
"2016-07-15 00:00","11.95162392","0.0006274200",
"2016-07-16 00:00","11.65283012","0.0005793200",
"2016-07-17 00:00","11.15869617","0.0006544500",
"2016-07-18 00:00","11.03442764","0.0006612800",
"2016-07-19 00:00","11.61912441","0.0014928700",
"2016-07-20 00:00","12.45060062","0.0007622300",
"2016-07-21 00:00","12.65074444","0.0007721700",
"2016-07-22 00:00","14.66192436","0.0007344900",
"2016-07-23 00:00","14.29966831","0.0006415200",
"2016-07-24 00:00","12.74947929","0.0007188000",
"2016-07-25 00:00","13.83611584","0.0007345200",
"2016-07-26 00:00","11.98951626","0.0007210400",
"2016-07-27 00:00","12.97279072","0.0013170900",
"2016-07-28 00:00","12.84363079","0.0009669600",
"2016-07-29 00:00","12.79463482","0.0007138700",
"2016-07-30 00:00","12.46101952","0.0006230200",
"2016-07-31 00:00","11.87594414","0.0006620900",
"2016-08-01 00:00","10.94160366","0.0006925600",
"2016-08-02 00:00","8.78727818","0.0006675300",
"2016-08-03 00:00","10.29389095","0.0006931400",
"2016-08-04 00:00","11.0427866","0.0006804700",
"2016-08-05 00:00","10.92538166","0.0006280200",
"2016-08-06 00:00","10.88107681","0.0006447700",
"2016-08-07 00:00","10.91155529","0.0012538800",
"2016-08-08 00:00","11.2454319","0.0006689100",
"2016-08-09 00:00","12.2443018","0.0007220200",
"2016-08-10 00:00","12.14320564","0.0006661000",
"2016-08-11 00:00","11.69089794","0.0006801800",
"2016-08-12 00:00","11.77854824","0.0006103400",
"2016-08-13 00:00","11.57128239","0.0005963500",
"2016-08-14 00:00","11.19476032","0.0006419400",
"2016-08-15 00:00","11.21837139","0.0006366700",
"2016-08-16 00:00","11.13965511","0.0006397100",
"2016-08-17 00:00","10.75275326","0.0007544400",
"2016-08-18 00:00","10.75610638","0.0006946200",
"2016-08-19 00:00","10.74868679","0.0006439700",
"2016-08-20 00:00","11.24738789","0.0006820700",
"2016-08-21 00:00","11.17916775","0.0006759200",
"2016-08-22 00:00","11.12092113","0.0014891300",
"2016-08-23 00:00","11.03055477","0.0006408100",
"2016-08-24 00:00","11.03602505","0.0006513800",
"2016-08-25 00:00","11.35740757","0.0006676800",
"2016-08-26 00:00","11.29538727","0.0005961900",
"2016-08-27 00:00","11.1482029","0.0006038300",
"2016-08-28 00:00","10.92926788","0.0006461600",
"2016-08-29 00:00","10.98382664","0.0006864000",
"2016-08-30 00:00","11.22885418","0.0006543100",
"2016-08-31 00:00","11.67238045","0.0006684100",
"2016-09-01 00:00","11.99490738","0.0008162300",
"2016-09-02 00:00","12.11295128","0.0006068200",
"2016-09-03 00:00","11.75873947","0.0010251000",
"2016-09-04 00:00","11.67991734","0.0006709800",
"2016-09-05 00:00","11.71703339","0.0006798100",
"2016-09-06 00:00","11.68914032","0.0007022300",
"2016-09-07 00:00","11.54791069","0.0007362300",
"2016-09-08 00:00","11.34593678","0.0007770500",
"2016-09-09 00:00","11.65284252","0.0006392300",
"2016-09-10 00:00","12.1684866","0.0006586200",
"2016-09-11 00:00","11.63843155","0.0007763200",
"2016-09-12 00:00","11.89369202","0.0007135800",
"2016-09-13 00:00","11.91872501","0.0006739700",
"2016-09-14 00:00","11.92320633","0.0006884400",
"2016-09-15 00:00","11.93702698","0.0008157500",
"2016-09-16 00:00","12.55577183","0.0007525600",
"2016-09-17 00:00","12.69864559","0.0007823400",
"2016-09-18 00:00","12.43123531","0.0006818300",
"2016-09-19 00:00","13.18900108","0.0006071300",
"2016-09-20 00:00","14.43027496","0.0006772800",
"2016-09-21 00:00","13.76851273","0.0011992000",
"2016-09-22 00:00","13.24758434","0.0013921700",
"2016-09-23 00:00","13.3313179","0.0016359500",
"2016-09-24 00:00","12.87793636","0.0017343100",
"2016-09-25 00:00","13.10085487","0.0026575200",
"2016-09-26 00:00","12.8230505","0.0021048100",
"2016-09-27 00:00","13.09827995","0.0015920000",
"2016-09-28 00:00","13.27484035","0.0010213600",
"2016-09-29 00:00","13.07335472","0.0011234200",
"2016-09-30 00:00","13.22480297","0.0017218600",
"2016-10-01 00:00","13.17269611","0.0017116800",
