时间,币价,主力流入,主力流出,散户流入,散户流出,净量
"2021-03-09 08:00","1832.7914248711","2255278033.7941628","-2379445468.5099845","16367511520.737328","-16452795698.924732","-209451612.9032258",
"2021-03-10 08:00","1796.4470680953","489345007.68049157","-433400921.6589862","5202058371.735791","-5149984639.016897","108017818.74039939",
"2021-03-11 08:00","1776.0897431878","1259711367.1274962","-1203919969.2780337","11223717357.910906","-11191244239.631336","88264516.12903225",
"2021-03-12 08:00","1876.4513051429","2367159600.6144395","-2423777265.745008","19093824884.79263","-18998678955.453148","38528264.20890937",
"2021-03-13 08:00","1858.1651346224","2835766153.8461537","-3047950769.230769","19310015384.615383","-19729046153.846153","-631215384.6153846",
"2021-03-14 09:00","1767.9222916894","3142213846.1538463","-3376738461.5384617","24497200000","-24652538461.53846","-389863076.9230769",
"2021-03-15 09:00","1801.4211021202","3290990783.410138","-3147516129.032258","21266528417.81874","-20997035330.26114","412967741.9354839",
"2021-03-16 09:00","1771.9700544804","4701180981.595093","-4699407975.460123","17657990797.546013","-17760444785.276073","-100680981.59509203",
"2021-03-17 09:00","1818.202114325","5467182235.834609","-5530597243.491577","19629954058.192955","-20043736600.30628","-477197549.770291",
"2021-03-18 09:00","1821.7023984382","5302266462.480858","-5220535987.748851","18684379785.6049","-18843215926.493107","-77105666.15620214",
"2021-03-19 09:00","1854.9280492978","5263349157.733538","-5333629402.756508","16442327718.223583","-16715298621.745789","-343251148.5451761",
"2021-03-20 09:00","1789.2417825532","5936727828.746178","-5846177370.030581","16417354740.061161","-15757171253.82263","750733944.9541284",
"2021-03-21 09:00","1780.5604601024","5391278538.812785","-5184566210.045662","15783683409.436834","-15475951293.759512","514444444.4444444",
"2021-03-22 09:00","1701.8638348396","4972201834.862386","-4901727828.746178","18539403669.72477","-18411376146.78899","198501529.05198777",
"2021-03-23 09:00","1719.407525067","4200366261.398176","-3986645896.656535","16592249240.12158","-16249802431.610943","556167173.2522796",
"2021-03-24 09:00","1594.8344747956","7117234042.553191","-6971671732.522797","22848829787.234043","-23155714285.714287","-161322188.44984803",
"2021-03-25 09:00","1641.0140947143","4930179910.044977","-4909970014.992504","16004482758.62069","-16922098950.524738","-897406296.8515742",
"2021-03-26 09:00","1683.6616463833","4211123493.975904","-4097394578.3132534","15218539156.626507","-14835527108.433735","496740963.8554217",
"2021-03-27 09:00","1706.3506791517","4205907046.476762","-3929185907.046477","13902473763.11844","-13201589205.3973","977605697.1514243",
"2021-03-28 09:00","1778.6042852677","5104717065.868263","-4881721556.886228","17360284431.137726","-16352155688.622755","1231124251.497006",
"2021-03-29 09:00","1832.0326358243","6420542168.674699","-6271325301.20482","18650271084.33735","-19212500000","-413012048.1927711",
"2021-03-30 09:00","1850.3648755229","7415196969.69697","-6678106060.606061","20179424242.424244","-19250030303.030304","1666484848.4848485",
"2021-03-31 09:00","1942.4641125747","8860646616.541353","-8371894736.842105","23341909774.43609","-22979789473.684208","850872180.4511278",
"2021-04-01 09:00","2071.4275073479","9455620328.849028","-9176995515.695066","25175411061.2855","-25049387144.992523","404648729.4469357",
"2021-04-02 09:00","2079.418564183","9312582089.552238","-9032865671.64179","23900835820.895523","-23080208955.22388","1100343283.5820894",
"2021-04-03 09:00","2077.8682835412","7670044510.3857565","-7935103857.566766","23656617210.68249","-23353575667.655785","37982195.84569733",
"2021-04-04 09:00","2107.7713498245","8515964653.902799","-8315552282.768778","20878703976.435936","-20214550810.01473","864565537.5552282",
"2021-04-05 09:00","2089.6737600327","8850088626.292467","-8716218611.521418","23701890694.239292","-24366351550.96012","-530590841.9497785",
"2021-04-06 09:00","1981.8708038938","7982748885.586924","-7858261515.601783","25773462109.95542","-26364442793.46211","-466493313.5215453",
"2021-04-07 09:00","2055.9802792153","8464334319.526628","-8696642011.83432","22661923076.923077","-22331272189.349113","98343195.26627219",
"2021-04-08 09:00","2064.0244160053","7600772659.73254","-7251292719.167905","20541589895.988113","-19793194650.817234","1097875185.7355125",
"2021-04-09 09:00","2157.8869902061","7844657738.095239","-7118660714.285714","24477886904.761906","-23025788690.476192","2178095238.095238",
"2021-04-10 09:00","2151.9950717711","6860669642.857143","-6895639880.952381","20357514880.95238","-20589315476.190475","-266770833.33333334",
"2021-04-11 09:00","2130.3923436355","7766210995.542347","-7409346210.995542","22664115898.95988","-22327429420.5052","693551263.0014858",
"2021-04-12 09:00","2261.4200087557","7735430267.062314","-7066602373.88724","25431676557.863503","-23392403560.83086","2708100890.207715",
