时间,币价,每日叔块奖励
"2016-10-29 00:00","10.44459438","16668.2200000000",
"2016-10-30 00:00","11.18276787","16497.9900000000",
"2016-10-31 00:00","10.99822712","13383.8300000000",
"2016-11-01 00:00","10.76613426","14557.9500000000",
"2016-11-02 00:00","10.75260258","15440.3900000000",
"2016-11-03 00:00","10.80099678","14665.0700000000",
"2016-11-04 00:00","11.09069157","15246.2400000000",
"2016-11-05 00:00","11.0025177","15949.3900000000",
"2016-11-06 00:00","10.87350655","17462.5600000000",
"2016-11-07 00:00","10.80883884","15768.2200000000",
"2016-11-08 00:00","10.83365059","14197.9600000000",
"2016-11-09 00:00","10.65554047","13967.0600000000",
"2016-11-10 00:00","10.52449417","13829.2900000000",
"2016-11-11 00:00","10.28994465","14641.0100000000",
"2016-11-12 00:00","9.87795925","13769.7000000000",
"2016-11-13 00:00","10.10153484","14790.9500000000",
"2016-11-14 00:00","9.96647644","13742.8700000000",
"2016-11-15 00:00","10.21750355","13196.7400000000",
"2016-11-16 00:00","10.05912781","14041.8500000000",
"2016-11-17 00:00","9.99117851","15186.4100000000",
"2016-11-18 00:00","9.47615719","14632.6500000000",
"2016-11-19 00:00","9.66276073","14409.9300000000",
"2016-11-20 00:00","9.57928467","13243.7300000000",
"2016-11-21 00:00","9.62081528","14926.2700000000",
"2016-11-22 00:00","9.9057169","32553.9100000000",
"2016-11-23 00:00","9.84361649","25297.1000000000",
"2016-11-24 00:00","9.23167324","26284.7200000000",
"2016-11-25 00:00","9.40205097","25181.1800000000",
"2016-11-26 00:00","9.3281126","34970.2800000000",
"2016-11-27 00:00","8.99847031","31439.9100000000",
"2016-11-28 00:00","8.72482395","23587.9200000000",
"2016-11-29 00:00","8.17411613","12652.2100000000",
"2016-11-30 00:00","8.58754253","11755.3200000000",
"2016-12-01 00:00","8.4525013","10810.4700000000",
"2016-12-02 00:00","7.75996161","9854.3900000000",
"2016-12-03 00:00","7.92134237","9118.2400000000",
"2016-12-04 00:00","7.44367933","8414.9800000000",
"2016-12-05 00:00","6.82166243","10162.3500000000",
"2016-12-06 00:00","7.86892748","10249.7700000000",
"2016-12-07 00:00","8.38148212","12002.6000000000",
"2016-12-08 00:00","8.23051453","11644.0400000000",
"2016-12-09 00:00","8.44601345","10389.4900000000",
"2016-12-10 00:00","8.12516308","10116.1900000000",
"2016-12-11 00:00","8.19362354","10895.5300000000",
"2016-12-12 00:00","8.52221107","11679.3400000000",
"2016-12-13 00:00","8.4228487","11611.5000000000",
"2016-12-14 00:00","8.26523495","10410.4100000000",
"2016-12-15 00:00","7.82846737","10326.0200000000",
"2016-12-16 00:00","7.8582139","10005.3600000000",
"2016-12-17 00:00","7.87658596","10687.3500000000",
"2016-12-18 00:00","7.86532021","9676.7000000000",
"2016-12-19 00:00","7.64382315","9711.3300000000",
"2016-12-20 00:00","7.66003942","9404.0800000000",
"2016-12-21 00:00","7.91440153","9424.4500000000",
"2016-12-22 00:00","7.58500481","9326.2200000000",
"2016-12-23 00:00","7.16614914","9109.0300000000",
"2016-12-24 00:00","7.2657733","9527.1900000000",
"2016-12-25 00:00","7.17507982","9113.0200000000",
"2016-12-26 00:00","7.27409172","8543.4400000000",
"2016-12-27 00:00","7.1708231","8783.0200000000",
"2016-12-28 00:00","7.52010679","11144.4100000000",
"2016-12-29 00:00","8.28415871","10669.1700000000",
"2016-12-30 00:00","8.15998363","9654.8600000000",
