时间,币价,活跃地址数
"2016-10-26 00:00","11.53199673","18879.0000000000",
"2016-10-27 00:00","11.49969292","18942.0000000000",
"2016-10-28 00:00","11.08507824","17205.0000000000",
"2016-10-29 00:00","10.44459438","15495.0000000000",
"2016-10-30 00:00","11.18276787","20037.0000000000",
"2016-10-31 00:00","10.99822712","20742.0000000000",
"2016-11-01 00:00","10.76613426","21235.0000000000",
"2016-11-02 00:00","10.75260258","19484.0000000000",
"2016-11-03 00:00","10.80099678","13432.0000000000",
"2016-11-04 00:00","11.09069157","16560.0000000000",
"2016-11-05 00:00","11.0025177","15047.0000000000",
"2016-11-06 00:00","10.87350655","18230.0000000000",
"2016-11-07 00:00","10.80883884","17031.0000000000",
"2016-11-08 00:00","10.83365059","17588.0000000000",
"2016-11-09 00:00","10.65554047","16269.0000000000",
"2016-11-10 00:00","10.52449417","17758.0000000000",
"2016-11-11 00:00","10.28994465","16318.0000000000",
"2016-11-12 00:00","9.87795925","17723.0000000000",
"2016-11-13 00:00","10.10153484","16280.0000000000",
"2016-11-14 00:00","9.96647644","17250.0000000000",
"2016-11-15 00:00","10.21750355","16124.0000000000",
"2016-11-16 00:00","10.05912781","15974.0000000000",
"2016-11-17 00:00","9.99117851","16559.0000000000",
"2016-11-18 00:00","9.47615719","15769.0000000000",
"2016-11-19 00:00","9.66276073","16851.0000000000",
"2016-11-20 00:00","9.57928467","16661.0000000000",
"2016-11-21 00:00","9.62081528","30778.0000000000",
"2016-11-22 00:00","9.9057169","38946.0000000000",
"2016-11-23 00:00","9.84361649","16481.0000000000",
"2016-11-24 00:00","9.23167324","42503.0000000000",
"2016-11-25 00:00","9.40205097","16771.0000000000",
"2016-11-26 00:00","9.3281126","17184.0000000000",
"2016-11-27 00:00","8.99847031","16711.0000000000",
"2016-11-28 00:00","8.72482395","15773.0000000000",
"2016-11-29 00:00","8.17411613","16497.0000000000",
"2016-11-30 00:00","8.58754253","14980.0000000000",
"2016-12-01 00:00","8.4525013","18721.0000000000",
"2016-12-02 00:00","7.75996161","19945.0000000000",
"2016-12-03 00:00","7.92134237","21085.0000000000",
"2016-12-04 00:00","7.44367933","20691.0000000000",
"2016-12-05 00:00","6.82166243","18729.0000000000",
"2016-12-06 00:00","7.86892748","16703.0000000000",
"2016-12-07 00:00","8.38148212","15462.0000000000",
"2016-12-08 00:00","8.23051453","16500.0000000000",
"2016-12-09 00:00","8.44601345","17310.0000000000",
"2016-12-10 00:00","8.12516308","15745.0000000000",
"2016-12-11 00:00","8.19362354","16118.0000000000",
"2016-12-12 00:00","8.52221107","15094.0000000000",
"2016-12-13 00:00","8.4228487","17799.0000000000",
"2016-12-14 00:00","8.26523495","18176.0000000000",
"2016-12-15 00:00","7.82846737","16398.0000000000",
"2016-12-16 00:00","7.8582139","15788.0000000000",
"2016-12-17 00:00","7.87658596","13841.0000000000",
"2016-12-18 00:00","7.86532021","17890.0000000000",
"2016-12-19 00:00","7.64382315","17050.0000000000",
"2016-12-20 00:00","7.66003942","17457.0000000000",
"2016-12-21 00:00","7.91440153","24176.0000000000",
"2016-12-22 00:00","7.58500481","18054.0000000000",
"2016-12-23 00:00","7.16614914","15411.0000000000",
"2016-12-24 00:00","7.2657733","13952.0000000000",
"2016-12-25 00:00","7.17507982","14071.0000000000",
"2016-12-26 00:00","7.27409172","15960.0000000000",
"2016-12-27 00:00","7.1708231","15838.0000000000",
"2016-12-28 00:00","7.52010679","16203.0000000000",
"2016-12-29 00:00","8.28415871","16553.0000000000",
"2016-12-30 00:00","8.15998363","16138.0000000000",
"2016-12-31 00:00","7.96909714","14151.0000000000",
"2017-01-01 00:00","8.17257118","15485.0000000000",
"2017-01-02 00:00","8.37851238","16354.0000000000",
