时间,币价,交易笔数
"2016-06-24 00:00","14.33205795","36684.0000000000",
"2016-06-25 00:00","14.28302765","41613.0000000000",
"2016-06-26 00:00","13.85019493","39663.0000000000",
"2016-06-27 00:00","13.88386536","43089.0000000000",
"2016-06-28 00:00","12.17556","49897.0000000000",
"2016-06-29 00:00","12.61120892","63952.0000000000",
"2016-06-30 00:00","12.46150208","40085.0000000000",
"2016-07-01 00:00","12.19946003","39257.0000000000",
"2016-07-02 00:00","12.128438","39757.0000000000",
"2016-07-03 00:00","11.7202177","39950.0000000000",
"2016-07-04 00:00","11.47100258","39270.0000000000",
"2016-07-05 00:00","10.61136818","37900.0000000000",
"2016-07-06 00:00","10.52893353","40433.0000000000",
"2016-07-07 00:00","10.10936642","42506.0000000000",
"2016-07-08 00:00","11.39457512","40410.0000000000",
"2016-07-09 00:00","10.96547318","39358.0000000000",
"2016-07-10 00:00","10.94762325","38582.0000000000",
"2016-07-11 00:00","10.45902729","40811.0000000000",
"2016-07-12 00:00","10.51609421","35740.0000000000",
"2016-07-13 00:00","10.50051498","42809.0000000000",
"2016-07-14 00:00","11.51319122","41110.0000000000",
"2016-07-15 00:00","11.95162392","38062.0000000000",
"2016-07-16 00:00","11.65283012","33914.0000000000",
"2016-07-17 00:00","11.15869617","39198.0000000000",
"2016-07-18 00:00","11.03442764","44184.0000000000",
"2016-07-19 00:00","11.61912441","50631.0000000000",
"2016-07-20 00:00","12.45060062","44882.0000000000",
"2016-07-21 00:00","12.65074444","48458.0000000000",
"2016-07-22 00:00","14.66192436","45006.0000000000",
"2016-07-23 00:00","14.29966831","58215.0000000000",
"2016-07-24 00:00","12.74947929","54856.0000000000",
"2016-07-25 00:00","13.83611584","61930.0000000000",
"2016-07-26 00:00","11.98951626","53035.0000000000",
"2016-07-27 00:00","12.97279072","48555.0000000000",
"2016-07-28 00:00","12.84363079","47243.0000000000",
"2016-07-29 00:00","12.79463482","42011.0000000000",
"2016-07-30 00:00","12.46101952","48749.0000000000",
"2016-07-31 00:00","11.87594414","45978.0000000000",
"2016-08-01 00:00","10.94160366","49041.0000000000",
"2016-08-02 00:00","8.78727818","49475.0000000000",
"2016-08-03 00:00","10.29389095","46761.0000000000",
"2016-08-04 00:00","11.0427866","43212.0000000000",
"2016-08-05 00:00","10.92538166","41487.0000000000",
"2016-08-06 00:00","10.88107681","42955.0000000000",
"2016-08-07 00:00","10.91155529","42984.0000000000",
"2016-08-08 00:00","11.2454319","47057.0000000000",
"2016-08-09 00:00","12.2443018","46290.0000000000",
"2016-08-10 00:00","12.14320564","48171.0000000000",
"2016-08-11 00:00","11.69089794","44400.0000000000",
"2016-08-12 00:00","11.77854824","41088.0000000000",
"2016-08-13 00:00","11.57128239","40577.0000000000",
"2016-08-14 00:00","11.19476032","42302.0000000000",
"2016-08-15 00:00","11.21837139","48949.0000000000",
"2016-08-16 00:00","11.13965511","44867.0000000000",
"2016-08-17 00:00","10.75275326","47799.0000000000",
"2016-08-18 00:00","10.75610638","42948.0000000000",
"2016-08-19 00:00","10.74868679","41318.0000000000",
"2016-08-20 00:00","11.24738789","42543.0000000000",
"2016-08-21 00:00","11.17916775","44250.0000000000",
"2016-08-22 00:00","11.12092113","48430.0000000000",
"2016-08-23 00:00","11.03055477","46821.0000000000",
"2016-08-24 00:00","11.03602505","49868.0000000000",
"2016-08-25 00:00","11.35740757","47292.0000000000",
"2016-08-26 00:00","11.29538727","47938.0000000000",
"2016-08-27 00:00","11.1482029","42607.0000000000",
"2016-08-28 00:00","10.92926788","45510.0000000000",
"2016-08-29 00:00","10.98382664","46979.0000000000",
"2016-08-30 00:00","11.22885418","45846.0000000000",
"2016-08-31 00:00","11.67238045","47491.0000000000",
"2016-09-01 00:00","11.99490738","55413.0000000000",
"2016-09-02 00:00","12.11295128","44792.0000000000",
"2016-09-03 00:00","11.75873947","48128.0000000000",
"2016-09-04 00:00","11.67991734","42667.0000000000",
"2016-09-05 00:00","11.71703339","49102.0000000000",
"2016-09-06 00:00","11.68914032","48701.0000000000",
"2016-09-07 00:00","11.54791069","55970.0000000000",
"2016-09-08 00:00","11.34593678","53918.0000000000",
"2016-09-09 00:00","11.65284252","42875.0000000000",
"2016-09-10 00:00","12.1684866","43345.0000000000",
"2016-09-11 00:00","11.63843155","45123.0000000000",
"2016-09-12 00:00","11.89369202","42591.0000000000",
"2016-09-13 00:00","11.91872501","53859.0000000000",
"2016-09-14 00:00","11.92320633","52622.0000000000",
"2016-09-15 00:00","11.93702698","57532.0000000000",
"2016-09-16 00:00","12.55577183","46882.0000000000",
"2016-09-17 00:00","12.69864559","37893.0000000000",
"2016-09-18 00:00","12.43123531","40505.0000000000",
"2016-09-19 00:00","13.18900108","54067.0000000000",
