时间,币价,挖币数量
"2016-04-03 00:00","11.61833286","30524.0000000000",
"2016-04-04 00:00","11.15727425","30258.0000000000",
"2016-04-05 00:00","10.43812466","30099.0000000000",
"2016-04-06 00:00","10.68538189","29849.0000000000",
"2016-04-07 00:00","10.06968307","30600.0000000000",
"2016-04-08 00:00","9.71958637","29743.0000000000",
"2016-04-09 00:00","9.15061855","30411.0000000000",
"2016-04-10 00:00","8.93634224","29761.0000000000",
"2016-04-11 00:00","8.64378929","30156.0000000000",
"2016-04-12 00:00","7.44231272","30172.0000000000",
"2016-04-13 00:00","8.04442024","30195.0000000000",
"2016-04-14 00:00","8.38724041","30383.0000000000",
"2016-04-15 00:00","8.24278069","30177.0000000000",
"2016-04-16 00:00","8.60949898","30169.0000000000",
"2016-04-17 00:00","9.30909824","30366.0000000000",
"2016-04-18 00:00","9.03599834","29931.0000000000",
"2016-04-19 00:00","8.71487713","30344.0000000000",
"2016-04-20 00:00","8.46579361","30045.0000000000",
"2016-04-21 00:00","8.10217285","30240.0000000000",
"2016-04-22 00:00","7.82126379","30341.0000000000",
"2016-04-23 00:00","8.29479218","29999.0000000000",
"2016-04-24 00:00","8.00135231","30617.0000000000",
"2016-04-25 00:00","7.5543375","29849.0000000000",
"2016-04-26 00:00","7.39704084","30401.0000000000",
"2016-04-27 00:00","7.75997066","30241.0000000000",
"2016-04-28 00:00","7.17252827","30242.0000000000",
"2016-04-29 00:00","7.45728827","30393.0000000000",
"2016-04-30 00:00","8.81397915","29804.0000000000",
"2016-05-01 00:00","8.8465023","30495.0000000000",
"2016-05-02 00:00","10.16323185","30366.0000000000",
"2016-05-03 00:00","9.31127167","29996.0000000000",
"2016-05-04 00:00","9.41376877","30288.0000000000",
"2016-05-05 00:00","9.8261013","30217.0000000000",
"2016-05-06 00:00","9.34663868","30037.0000000000",
"2016-05-07 00:00","9.37050915","30355.0000000000",
"2016-05-08 00:00","9.48293018","30315.0000000000",
"2016-05-09 00:00","9.29773235","30161.0000000000",
"2016-05-10 00:00","9.36151505","29676.0000000000",
"2016-05-11 00:00","9.99627781","30611.0000000000",
"2016-05-12 00:00","10.05779934","30447.0000000000",
"2016-05-13 00:00","10.50657082","29908.0000000000",
"2016-05-14 00:00","10.23973179","30180.0000000000",
"2016-05-15 00:00","9.9623518","29906.0000000000",
"2016-05-16 00:00","11.17129898","30463.0000000000",
"2016-05-17 00:00","12.1987505","30433.0000000000",
"2016-05-18 00:00","13.55858231","30159.0000000000",
"2016-05-19 00:00","14.76970387","30297.0000000000",
"2016-05-20 00:00","13.63562298","30016.0000000000",
"2016-05-21 00:00","14.01504421","30520.0000000000",
"2016-05-22 00:00","14.28610992","30175.0000000000",
"2016-05-23 00:00","13.46151066","30156.0000000000",
"2016-05-24 00:00","12.73231983","30264.0000000000",
"2016-05-25 00:00","12.52603245","30207.0000000000",
"2016-05-26 00:00","12.43041801","30345.0000000000",
"2016-05-27 00:00","11.29575253","30263.0000000000",
"2016-05-28 00:00","11.89294243","30119.0000000000",
"2016-05-29 00:00","12.35042667","30144.0000000000",
"2016-05-30 00:00","12.72528076","29782.0000000000",
"2016-05-31 00:00","14.07725048","30301.0000000000",
"2016-06-01 00:00","14.00150299","30456.0000000000",
"2016-06-02 00:00","13.73803997","30252.0000000000",
"2016-06-03 00:00","13.8466959","30183.0000000000",
"2016-06-04 00:00","13.74044323","29907.0000000000",
"2016-06-05 00:00","13.97502708","30637.0000000000",
"2016-06-06 00:00","13.93407631","30094.0000000000",
"2016-06-07 00:00","14.51203537","30555.0000000000",
"2016-06-08 00:00","14.41773224","30557.0000000000",
"2016-06-09 00:00","14.39861774","29603.0000000000",
"2016-06-10 00:00","13.90864468","30667.0000000000",
"2016-06-11 00:00","14.19161892","30427.0000000000",
"2016-06-12 00:00","15.74371529","30526.0000000000",
"2016-06-13 00:00","17.60272408","30290.0000000000",
"2016-06-14 00:00","18.89321709","30136.0000000000",
"2016-06-15 00:00","18.35429001","30185.0000000000",
"2016-06-16 00:00","20.58860207","29638.0000000000",
"2016-06-17 00:00","15.37683868","29908.0000000000",
"2016-06-18 00:00","11.33068657","31244.0000000000",
"2016-06-19 00:00","12.23420715","29873.0000000000",
"2016-06-20 00:00","11.83953381","30154.0000000000",
"2016-06-21 00:00","13.30673122","30823.0000000000",
"2016-06-22 00:00","13.09510899","30117.0000000000",
"2016-06-23 00:00","13.67622185","30325.0000000000",
"2016-06-24 00:00","14.33205795","30084.0000000000",
"2016-06-25 00:00","14.28302765","30366.0000000000",
"2016-06-26 00:00","13.85019493","30358.0000000000",
"2016-06-27 00:00","13.88386536","30438.0000000000",
"2016-06-28 00:00","12.17556","30086.0000000000",
"2016-06-29 00:00","12.61120892","30093.0000000000",
"2016-06-30 00:00","12.46150208","30758.0000000000",
"2016-07-01 00:00","12.19946003","30114.0000000000",
"2016-07-02 00:00","12.128438","30326.0000000000",
"2016-07-03 00:00","11.7202177","30432.0000000000",
"2016-07-04 00:00","11.47100258","29847.0000000000",
