date,unit_transaction_fee
2017-04-03 00:00,0.0007531400
2017-04-04 00:00,0.0007815100
2017-04-05 00:00,0.0007710800
2017-04-06 00:00,0.0007799900
2017-04-07 00:00,0.0007253100
2017-04-08 00:00,0.0007619100
2017-04-09 00:00,0.0008350900
2017-04-10 00:00,0.0007763100
2017-04-11 00:00,0.0010042600
2017-04-12 00:00,0.0007329500
2017-04-13 00:00,0.0007750200
2017-04-14 00:00,0.0007725900
2017-04-15 00:00,0.0007803300
2017-04-16 00:00,0.0008335900
2017-04-17 00:00,0.0008852600
2017-04-18 00:00,0.0009144200
2017-04-19 00:00,0.0008401700
2017-04-20 00:00,0.0011343500
2017-04-21 00:00,0.0010187800
2017-04-22 00:00,0.0008445100
2017-04-23 00:00,0.0009062300
2017-04-24 00:00,0.0008445800
2017-04-25 00:00,0.0008343200
2017-04-26 00:00,0.0008355800
2017-04-27 00:00,0.0007458700
2017-04-28 00:00,0.0007686300
2017-04-29 00:00,0.0008293800
2017-04-30 00:00,0.0009406100
2017-05-01 00:00,0.0010215700
2017-05-02 00:00,0.0007943100
2017-05-03 00:00,0.0008046000
2017-05-04 00:00,0.0007773500
2017-05-05 00:00,0.0008879100
2017-05-06 00:00,0.0009915800
2017-05-07 00:00,0.0008136100
2017-05-08 00:00,0.0009445100
2017-05-09 00:00,0.0009565200
2017-05-10 00:00,0.0009334800
2017-05-11 00:00,0.0010169700
2017-05-12 00:00,0.0010551800
2017-05-13 00:00,0.0010496400
2017-05-14 00:00,0.0010759900
2017-05-15 00:00,0.0011788100
2017-05-16 00:00,0.0015714800
2017-05-17 00:00,0.0011534800
2017-05-18 00:00,0.0010768600
2017-05-19 00:00,0.0011884300
2017-05-20 00:00,0.0010723100
2017-05-21 00:00,0.0010361800
2017-05-22 00:00,0.0013559600
2017-05-23 00:00,0.0014527500
2017-05-24 00:00,0.0011949600
2017-05-25 00:00,0.0012133900
2017-05-26 00:00,0.0012186500
2017-05-27 00:00,0.0012399300
2017-05-28 00:00,0.0012149400
2017-05-29 00:00,0.0016523600
2017-05-30 00:00,0.0029612100
2017-05-31 00:00,0.0012718100
2017-06-01 00:00,0.0014960600
2017-06-02 00:00,0.0012986800
2017-06-03 00:00,0.0014195600
2017-06-04 00:00,0.0011556400
2017-06-05 00:00,0.0013219200
2017-06-06 00:00,0.0013416500
2017-06-07 00:00,0.0012760500
2017-06-08 00:00,0.0011606700
2017-06-09 00:00,0.0010056400
2017-06-10 00:00,0.0013051600
2017-06-11 00:00,0.0017505600
2017-06-12 00:00,0.0010520900
2017-06-13 00:00,0.0010173700
2017-06-14 00:00,0.0010688200
2017-06-15 00:00,0.0010383300
2017-06-16 00:00,0.0009861100
2017-06-17 00:00,0.0010241500
2017-06-18 00:00,0.0009888600
2017-06-19 00:00,0.0023340700
2017-06-20 00:00,0.0041275800
2017-06-21 00:00,0.0024098600
2017-06-22 00:00,0.0017025700
2017-06-23 00:00,0.0025549200
2017-06-24 00:00,0.0017813000
2017-06-25 00:00,0.0027630800
2017-06-26 00:00,0.0013124100
2017-06-27 00:00,0.0028195500
2017-06-28 00:00,0.0017676200
2017-06-29 00:00,0.0013945800
2017-06-30 00:00,0.0013130600
2017-07-01 00:00,0.0012769400
2017-07-02 00:00,0.0014101800
2017-07-03 00:00,0.0013395900
2017-07-04 00:00,0.0015061900
2017-07-05 00:00,0.0011776700
2017-07-06 00:00,0.0012061900
2017-07-07 00:00,0.0014518900
2017-07-08 00:00,0.0011373200
2017-07-09 00:00,0.0008644100
2017-07-10 00:00,0.0009849600
2017-07-11 00:00,0.0011638500
2017-07-12 00:00,0.0012557200
2017-07-13 00:00,0.0011062600
2017-07-14 00:00,0.0012417600
2017-07-15 00:00,0.0011107600
2017-07-16 00:00,0.0011329600
2017-07-17 00:00,0.0015630700
2017-07-18 00:00,0.0012025600
2017-07-19 00:00,0.0010242700
2017-07-20 00:00,0.0013314500
2017-07-21 00:00,0.0010936500
2017-07-22 00:00,0.0011075100
2017-07-23 00:00,0.0011761500
2017-07-24 00:00,0.0014631700
2017-07-25 00:00,0.0013200500
2017-07-26 00:00,0.0011708200
2017-07-27 00:00,0.0011439700
2017-07-28 00:00,0.0010271800
2017-07-29 00:00,0.0010068400
2017-07-30 00:00,0.0009244700
2017-07-31 00:00,0.0012059500
2017-08-01 00:00,0.0010256500
2017-08-02 00:00,0.0010007100
2017-08-03 00:00,0.0008556100
2017-08-04 00:00,0.0009031200
2017-08-05 00:00,0.0009240000
2017-08-06 00:00,0.0011500000
2017-08-07 00:00,0.0010634100
2017-08-08 00:00,0.0009579700
2017-08-09 00:00,0.0009258100
2017-08-10 00:00,0.0009929400
2017-08-11 00:00,0.0010187000
2017-08-12 00:00,0.0009148100
2017-08-13 00:00,0.0008426000
2017-08-14 00:00,0.0009286100
2017-08-15 00:00,0.0028249400
2017-08-16 00:00,0.0016134000
2017-08-17 00:00,0.0022976900
2017-08-18 00:00,0.0012503900
2017-08-19 00:00,0.0009458600
2017-08-20 00:00,0.0008396200
2017-08-21 00:00,0.0008920400
2017-08-22 00:00,0.0008430000
2017-08-23 00:00,0.0009160100
2017-08-24 00:00,0.0008795200
2017-08-25 00:00,0.0009727300
2017-08-26 00:00,0.0008493500
2017-08-27 00:00,0.0008881800
2017-08-28 00:00,0.0013079200
2017-08-29 00:00,0.0010828500
2017-08-30 00:00,0.0019186100
2017-08-31 00:00,0.0013182100
2017-09-01 00:00,0.0018495100
2017-09-02 00:00,0.0009806900
2017-09-03 00:00,0.0011020700
2017-09-04 00:00,0.0013851700
2017-09-05 00:00,0.0015518000
2017-09-06 00:00,0.0016376600
2017-09-07 00:00,0.0016364000
2017-09-08 00:00,0.0011495600
2017-09-09 00:00,0.0012711800
2017-09-10 00:00,0.0010764900
2017-09-11 00:00,0.0012842200
2017-09-12 00:00,0.0012663000
2017-09-13 00:00,0.0010750000
2017-09-14 00:00,0.0014418700
2017-09-15 00:00,0.0017681200
2017-09-16 00:00,0.0012820800
2017-09-17 00:00,0.0011113600
2017-09-18 00:00,0.0011401100
