date,block_size
2016-09-13 00:00,1757.6009000000
2016-09-14 00:00,1743.4825000000
2016-09-15 00:00,2019.9060000000
2016-09-16 00:00,1587.8225000000
2016-09-17 00:00,1432.6526000000
2016-09-18 00:00,1340.9983000000
2016-09-19 00:00,1689.3700000000
2016-09-20 00:00,1598.3332000000
2016-09-21 00:00,1876.2966000000
2016-09-22 00:00,1280.1939000000
2016-09-23 00:00,1526.0835000000
2016-09-24 00:00,1386.5588000000
2016-09-25 00:00,1544.7002000000
2016-09-26 00:00,1660.8308000000
2016-09-27 00:00,1561.3208000000
2016-09-28 00:00,1441.5230000000
2016-09-29 00:00,1436.6005000000
2016-09-30 00:00,1809.9933000000
2016-10-01 00:00,1686.7932000000
2016-10-02 00:00,1718.6813000000
2016-10-03 00:00,2191.5002000000
2016-10-04 00:00,1802.1939000000
2016-10-05 00:00,1938.3093000000
2016-10-06 00:00,4119.2412000000
2016-10-07 00:00,5429.3202000000
2016-10-08 00:00,5682.6363000000
2016-10-09 00:00,12725.1602000000
2016-10-10 00:00,2762.4464000000
2016-10-11 00:00,1247.8766000000
2016-10-12 00:00,1306.1258000000
2016-10-13 00:00,1400.3357000000
2016-10-14 00:00,1236.3091000000
2016-10-15 00:00,1296.9912000000
2016-10-16 00:00,1376.8418000000
2016-10-17 00:00,1746.6305000000
2016-10-18 00:00,1638.1510000000
2016-10-19 00:00,1465.5435000000
2016-10-20 00:00,1724.4356000000
2016-10-21 00:00,1356.8805000000
2016-10-22 00:00,1291.5673000000
2016-10-23 00:00,1791.4547000000
2016-10-24 00:00,1675.2807000000
2016-10-25 00:00,1549.6404000000
2016-10-26 00:00,1517.9879000000
2016-10-27 00:00,1472.2267000000
2016-10-28 00:00,1461.4058000000
2016-10-29 00:00,1422.4339000000
2016-10-30 00:00,1535.7106000000
2016-10-31 00:00,1688.5623000000
2016-11-01 00:00,1496.6731000000
2016-11-02 00:00,1470.5561000000
2016-11-03 00:00,1262.1491000000
2016-11-04 00:00,1357.9762000000
2016-11-05 00:00,1289.3160000000
2016-11-06 00:00,1399.4177000000
2016-11-07 00:00,1475.9146000000
2016-11-08 00:00,1483.8638000000
2016-11-09 00:00,1492.3314000000
2016-11-10 00:00,1462.2341000000
2016-11-11 00:00,1426.0427000000
2016-11-12 00:00,1467.9626000000
2016-11-13 00:00,1576.0442000000
2016-11-14 00:00,1577.3743000000
2016-11-15 00:00,1481.4374000000
2016-11-16 00:00,1475.9162000000
2016-11-17 00:00,1513.5591000000
2016-11-18 00:00,1375.2223000000
2016-11-19 00:00,1472.8848000000
2016-11-20 00:00,1537.4920000000
2016-11-21 00:00,1707.9502000000
2016-11-22 00:00,1949.9712000000
2016-11-23 00:00,1423.5644000000
2016-11-24 00:00,1767.1271000000
2016-11-25 00:00,1500.9178000000
2016-11-26 00:00,1702.9098000000
2016-11-27 00:00,1731.0099000000
2016-11-28 00:00,1692.3555000000
2016-11-29 00:00,2208.6892000000
2016-11-30 00:00,1407.4065000000
2016-12-01 00:00,1461.5490000000
2016-12-02 00:00,1404.4266000000
2016-12-03 00:00,1403.2711000000
2016-12-04 00:00,1491.4427000000
2016-12-05 00:00,1614.9611000000
2016-12-06 00:00,1522.6623000000
2016-12-07 00:00,1415.6616000000
2016-12-08 00:00,1502.0960000000
2016-12-09 00:00,1427.6998000000
2016-12-10 00:00,1680.9000000000
2016-12-11 00:00,1477.0118000000
2016-12-12 00:00,1538.4992000000
2016-12-13 00:00,1835.3301000000
2016-12-14 00:00,1581.6621000000
2016-12-15 00:00,1506.0107000000
2016-12-16 00:00,1417.8738000000
2016-12-17 00:00,1345.3220000000
2016-12-18 00:00,1616.2512000000
2016-12-19 00:00,1536.3867000000
2016-12-20 00:00,1769.3428000000
2016-12-21 00:00,1761.9135000000
2016-12-22 00:00,1521.9669000000
2016-12-23 00:00,1360.8864000000
2016-12-24 00:00,1316.6005000000
2016-12-25 00:00,1294.1146000000
2016-12-26 00:00,1558.1457000000
2016-12-27 00:00,1530.5002000000
2016-12-28 00:00,1678.4096000000
2016-12-29 00:00,1622.8121000000
2016-12-30 00:00,1544.2593000000
2016-12-31 00:00,1390.1969000000
2017-01-01 00:00,1458.2729000000
2017-01-02 00:00,1627.4679000000
2017-01-03 00:00,1717.1321000000
2017-01-04 00:00,1675.5915000000
2017-01-05 00:00,1592.5211000000
2017-01-06 00:00,1570.1203000000
2017-01-07 00:00,1557.2945000000
2017-01-08 00:00,1595.4245000000
2017-01-09 00:00,1685.8844000000
2017-01-10 00:00,1591.4690000000
2017-01-11 00:00,1696.7132000000
2017-01-12 00:00,1728.9252000000
2017-01-13 00:00,1499.3318000000
2017-01-14 00:00,1497.7753000000
2017-01-15 00:00,1574.8025000000
2017-01-16 00:00,1642.4937000000
2017-01-17 00:00,1582.9589000000
2017-01-18 00:00,1552.2449000000
2017-01-19 00:00,1608.5296000000
2017-01-20 00:00,1503.9449000000
2017-01-21 00:00,1616.3270000000
2017-01-22 00:00,1612.3275000000
2017-01-23 00:00,1753.9379000000
2017-01-24 00:00,1643.7727000000
2017-01-25 00:00,1672.9857000000
2017-01-26 00:00,1657.7906000000
2017-01-27 00:00,1627.6398000000
2017-01-28 00:00,1522.5426000000
2017-01-29 00:00,1578.8613000000
2017-01-30 00:00,1538.7459000000
2017-01-31 00:00,1607.3596000000
2017-02-01 00:00,1578.1224000000
2017-02-02 00:00,1568.2748000000
2017-02-03 00:00,1560.4220000000
2017-02-04 00:00,1614.2513000000
2017-02-05 00:00,1605.9387000000
2017-02-06 00:00,1826.9940000000
2017-02-07 00:00,1764.2177000000
2017-02-08 00:00,1629.5195000000
2017-02-09 00:00,1735.3384000000
2017-02-10 00:00,1593.9286000000
2017-02-11 00:00,1571.1187000000
2017-02-12 00:00,1823.4771000000
2017-02-13 00:00,1913.9079000000
2017-02-14 00:00,1817.6242000000
2017-02-15 00:00,1661.0631000000
2017-02-16 00:00,1660.8889000000
2017-02-17 00:00,1773.0793000000
2017-02-18 00:00,1634.9593000000
2017-02-19 00:00,1696.2495000000
2017-02-20 00:00,1989.2926000000
2017-02-21 00:00,1790.4323000000
2017-02-22 00:00,1667.1942000000
2017-02-23 00:00,1778.3880000000
2017-02-24 00:00,1760.6693000000
2017-02-25 00:00,1712.7497000000
2017-02-26 00:00,1818.7255000000
2017-02-27 00:00,1935.2753000000
2017-02-28 00:00,2234.9528000000
2017-03-01 00:00,2209.4229000000
2017-03-02 00:00,2083.7667000000
2017-03-03 00:00,1859.6309000000
2017-03-04 00:00,1821.2468000000
2017-03-05 00:00,1808.0942000000
2017-03-06 00:00,1963.4140000000
2017-03-07 00:00,1799.6666000000
2017-03-08 00:00,2403.3544000000
2017-03-09 00:00,2190.1950000000
2017-03-10 00:00,2013.8560000000
2017-03-11 00:00,2042.8907000000
2017-03-12 00:00,2451.7207000000
2017-03-13 00:00,2433.4791000000
2017-03-14 00:00,2455.9240000000
2017-03-15 00:00,3070.9850000000
2017-03-16 00:00,2879.5562000000
2017-03-17 00:00,2512.5528000000
2017-03-18 00:00,2395.8884000000
2017-03-19 00:00,2316.0348000000
2017-03-20 00:00,2507.1279000000
2017-03-21 00:00,2368.4655000000
2017-03-22 00:00,2512.8204000000
2017-03-23 00:00,2557.0027000000
2017-03-24 00:00,2427.7677000000
2017-03-25 00:00,2374.5874000000
2017-03-26 00:00,2896.2084000000
2017-03-27 00:00,2543.0705000000
2017-03-28 00:00,2744.1895000000
2017-03-29 00:00,2852.6838000000
2017-03-30 00:00,2948.8136000000
2017-03-31 00:00,2402.8140000000
2017-04-01 00:00,2668.8484000000
2017-04-02 00:00,2788.2358000000
2017-04-03 00:00,2518.1438000000
2017-04-04 00:00,2557.5840000000
2017-04-05 00:00,2799.1386000000
2017-04-06 00:00,2776.3920000000
2017-04-07 00:00,2248.5138000000
2017-04-08 00:00,2358.3759000000
2017-04-09 00:00,2460.4733000000
2017-04-10 00:00,2376.7124000000
2017-04-11 00:00,2696.5709000000
2017-04-12 00:00,2588.8008000000
2017-04-13 00:00,2450.8629000000
2017-04-14 00:00,2348.1042000000
2017-04-15 00:00,2219.7002000000
2017-04-16 00:00,2309.4153000000
2017-04-17 00:00,2602.8033000000
2017-04-18 00:00,2664.0220000000
2017-04-19 00:00,2581.4706000000
2017-04-20 00:00,2690.8118000000
2017-04-21 00:00,2429.3149000000
2017-04-22 00:00,2393.0486000000
2017-04-23 00:00,2553.0843000000
2017-04-24 00:00,2803.2488000000
2017-04-25 00:00,2723.5565000000
2017-04-26 00:00,3094.9777000000
2017-04-27 00:00,3177.6335000000
2017-04-28 00:00,2792.8219000000
2017-04-29 00:00,3063.6827000000
2017-04-30 00:00,3544.4495000000
2017-05-01 00:00,3461.0249000000
2017-05-02 00:00,3027.5438000000
2017-05-03 00:00,3350.6925000000
2017-05-04 00:00,3170.6981000000
2017-05-05 00:00,2933.9783000000
2017-05-06 00:00,3321.8358000000
2017-05-07 00:00,3408.8652000000
2017-05-08 00:00,3376.0619000000
2017-05-09 00:00,3227.0320000000
2017-05-10 00:00,3351.7038000000
2017-05-11 00:00,3154.3092000000
2017-05-12 00:00,3065.1011000000
2017-05-13 00:00,3140.4198000000
2017-05-14 00:00,3831.3573000000
2017-05-15 00:00,3643.7788000000
2017-05-16 00:00,4304.9557000000
2017-05-17 00:00,4245.1119000000
2017-05-18 00:00,4801.2714000000
2017-05-19 00:00,4178.7814000000
2017-05-20 00:00,4586.0910000000
2017-05-21 00:00,5328.4674000000
2017-05-22 00:00,6626.5704000000
2017-05-23 00:00,6665.5012000000
2017-05-24 00:00,5952.1877000000
2017-05-25 00:00,5559.1970000000
2017-05-26 00:00,5126.7582000000
2017-05-27 00:00,5378.8162000000
2017-05-28 00:00,4922.1110000000
2017-05-29 00:00,7068.8948000000
2017-05-30 00:00,6842.5798000000
2017-05-31 00:00,6540.8654000000
2017-06-01 00:00,7542.2740000000
2017-06-02 00:00,6635.9201000000
2017-06-03 00:00,6458.0215000000
2017-06-04 00:00,6438.7632000000
