date,avg_computing_power
2018-09-21 00:00,262878974346460.0000000000
2018-09-22 00:00,260365957215800.0000000000
2018-09-23 00:00,261714824136260.0000000000
2018-09-24 00:00,259364280398620.0000000000
2018-09-25 00:00,266703730518020.0000000000
2018-09-26 00:00,265466939055310.0000000000
2018-09-27 00:00,264430197784020.0000000000
2018-09-28 00:00,259931123366900.0000000000
2018-09-29 00:00,263746820444430.0000000000
2018-09-30 00:00,259029981677500.0000000000
2018-10-01 00:00,259454751829760.0000000000
2018-10-02 00:00,258110931016580.0000000000
2018-10-03 00:00,261289476954990.0000000000
2018-10-04 00:00,259925705101880.0000000000
2018-10-05 00:00,261827063818420.0000000000
2018-10-06 00:00,263776886858050.0000000000
2018-10-07 00:00,266067985706710.0000000000
2018-10-08 00:00,263510241771360.0000000000
2018-10-09 00:00,263776037429600.0000000000
2018-10-10 00:00,259567841484460.0000000000
2018-10-11 00:00,259243138646480.0000000000
2018-10-12 00:00,256882267979270.0000000000
2018-10-13 00:00,259211818687980.0000000000
2018-10-14 00:00,256957147724800.0000000000
2018-10-15 00:00,257248846026080.0000000000
2018-10-16 00:00,255952304998150.0000000000
2018-10-17 00:00,260416539248000.0000000000
2018-10-18 00:00,256981985641270.0000000000
2018-10-19 00:00,253992209096520.0000000000
2018-10-20 00:00,250893663926300.0000000000
2018-10-21 00:00,248395695165780.0000000000
2018-10-22 00:00,251295723079550.0000000000
2018-10-23 00:00,252627366238590.0000000000
2018-10-24 00:00,248533543580870.0000000000
2018-10-25 00:00,247432443037460.0000000000
2018-10-26 00:00,249118641671330.0000000000
2018-10-27 00:00,247248125244500.0000000000
2018-10-28 00:00,244975854223880.0000000000
2018-10-29 00:00,246181612095340.0000000000
2018-10-30 00:00,250912935032600.0000000000
2018-10-31 00:00,243997812675270.0000000000
2018-11-01 00:00,238269105436100.0000000000
2018-11-02 00:00,238090046928310.0000000000
2018-11-03 00:00,242172465066370.0000000000
2018-11-04 00:00,240395712355400.0000000000
2018-11-05 00:00,240599815090119.0000000000
2018-11-06 00:00,242321794024370.0000000000
2018-11-07 00:00,244329654058550.0000000000
2018-11-08 00:00,239310589717630.0000000000
2018-11-09 00:00,241532454115000.0000000000
2018-11-10 00:00,246472104601890.0000000000
2018-11-11 00:00,240146955347020.0000000000
2018-11-12 00:00,242046447063600.0000000000
2018-11-13 00:00,242688609893850.0000000000
2018-11-14 00:00,241484697890680.0000000000
2018-11-15 00:00,245824430689140.0000000000
2018-11-16 00:00,236747606285430.0000000000
