date,new_addresses
2016-10-04 00:00,2436.0000000000
2016-10-05 00:00,2761.0000000000
2016-10-06 00:00,2172.0000000000
2016-10-07 00:00,3127.0000000000
2016-10-08 00:00,2775.0000000000
2016-10-09 00:00,3979.0000000000
2016-10-10 00:00,2252491.0000000000
2016-10-11 00:00,7146776.0000000000
2016-10-12 00:00,4972207.0000000000
2016-10-13 00:00,989946.0000000000
2016-10-14 00:00,701923.0000000000
2016-10-15 00:00,1170221.0000000000
2016-10-16 00:00,1062628.0000000000
2016-10-17 00:00,860014.0000000000
2016-10-18 00:00,2436.0000000000
2016-10-19 00:00,1597.0000000000
2016-10-20 00:00,1510.0000000000
2016-10-21 00:00,1675.0000000000
2016-10-22 00:00,1348.0000000000
2016-10-23 00:00,1814.0000000000
2016-10-24 00:00,2829.0000000000
2016-10-25 00:00,2005.0000000000
2016-10-26 00:00,1881.0000000000
2016-10-27 00:00,2277.0000000000
2016-10-28 00:00,1812.0000000000
2016-10-29 00:00,1704.0000000000
2016-10-30 00:00,1847.0000000000
2016-10-31 00:00,2298.0000000000
2016-11-01 00:00,4998.0000000000
2016-11-02 00:00,1929.0000000000
2016-11-03 00:00,1619.0000000000
2016-11-04 00:00,1550.0000000000
2016-11-05 00:00,1682.0000000000
2016-11-06 00:00,1779.0000000000
2016-11-07 00:00,2028.0000000000
2016-11-08 00:00,2499.0000000000
2016-11-09 00:00,1968.0000000000
2016-11-10 00:00,2228.0000000000
2016-11-11 00:00,1763.0000000000
2016-11-12 00:00,2350.0000000000
2016-11-13 00:00,1843.0000000000
2016-11-14 00:00,2101.0000000000
2016-11-15 00:00,1870.0000000000
2016-11-16 00:00,1807.0000000000
2016-11-17 00:00,2046.0000000000
2016-11-18 00:00,1571.0000000000
2016-11-19 00:00,1931.0000000000
2016-11-20 00:00,2161.0000000000
2016-11-21 00:00,2536.0000000000
2016-11-22 00:00,1675.0000000000
2016-11-23 00:00,1649.0000000000
2016-11-24 00:00,20524.0000000000
