,margin_call_s,margin_call_m,margin_call_l,margin_call_x,short_margin_call,long_margin_call,date
177,2527345.12,3008796.4,0.0,0.0,4475175.3,1060966.22,2020-12-18 00:00
178,1090939.2999999998,790266.74,0.0,0.0,1271100.64,610105.3999999999,2020-12-19 00:00
179,878540.91,1047271.28,0.0,0.0,488968.0,1436844.19,2020-12-20 00:00
180,1585903.25,4514376.3,0.0,0.0,5892161.2,208118.35,2020-12-21 00:00
181,1071226.1,933419.36,0.0,0.0,841496.5999999999,1163148.86,2020-12-22 00:00
182,2208992.72,4373507.38,0.0,0.0,5735772.1,846728.0,2020-12-23 00:00
183,1244571.23,1746819.94,0.0,0.0,1000127.47,1991263.7,2020-12-24 00:00
184,5767812.3,19611919.8,0.0,0.0,20732394.5,4647337.6,2020-12-25 00:00
185,902807.76,1556065.38,0.0,0.0,1530016.54,928856.6,2020-12-26 00:00
186,2074132.5,5379318.2,0.0,0.0,2169605.9,5283844.8,2020-12-27 00:00
187,2545234.9,5339366.8,0.0,0.0,1978965.4,5905636.3,2020-12-28 00:00
188,4424072.300000001,10143762.0,783437.94,0.0,9419330.14,5931942.1,2020-12-29 00:00
189,6704310.0,17617684.0,0.0,0.0,12036652.5,12285341.5,2020-12-30 00:00
190,3999103.7,13760963.8,0.0,0.0,14215882.2,3544185.3,2020-12-31 00:00
191,87084.74,158911.25,0.0,0.0,170137.89,75858.1,2021-01-01 00:00
192,2107095.96,3750912.8,0.0,0.0,1892456.06,3965552.7,2021-01-02 00:00
193,2137455.96,6392291.4,0.0,0.0,3458429.76,5071317.6,2021-01-03 00:00
194,1637920.2000000002,2578844.9,0.0,0.0,1732010.4,2484754.7,2021-01-04 00:00
195,2183224.26,6172225.75,0.0,0.0,7494213.6,861236.4099999999,2021-01-05 00:00
196,677735.6599999999,1587588.5,0.0,0.0,894712.8600000001,1370611.2999999998,2021-01-06 00:00
197,599887.5800000001,1712238.9,0.0,0.0,1418262.9,893863.5800000001,2021-01-07 00:00
198,1430522.2200000002,4535703.53,0.0,0.0,644475.15,5321750.6,2021-01-08 00:00
199,1350678.14,3071323.2,0.0,0.0,2970736.9000000004,1451264.44,2021-01-09 00:00
200,114324.52,323312.97,0.0,0.0,29552.22,408085.27,2021-01-10 00:00
201,2161108.8,9568557.7,0.0,0.0,643546.6000000001,11086119.9,2021-01-11 00:00
202,972239.76,1689755.12,0.0,0.0,2171073.9,490920.98,2021-01-12 00:00
203,5093956.359999999,16801232.2,0.0,0.0,18765456.8,3129731.76,2021-01-13 00:00
204,1009991.5,1480472.0,0.0,0.0,1556413.66,934049.84,2021-01-14 00:00
205,1622432.28,4568493.25,0.0,0.0,5217164.0,973761.53,2021-01-15 00:00
206,5072283.03,20537869.72,0.0,0.0,24822422.5,787730.25,2021-01-16 00:00
207,1632057.99,4441653.75,0.0,0.0,5809719.3,263992.44,2021-01-17 00:00
208,1791320.08,6665841.0,0.0,0.0,8350165.1,106995.98,2021-01-18 00:00
209,2752444.75,10673426.5,0.0,0.0,10864673.5,2561197.75,2021-01-19 00:00
210,2084021.84,5909415.6,0.0,0.0,3140219.74,4853217.699999999,2021-01-20 00:00
211,1336151.7,3008014.6,0.0,0.0,2834006.4,1510159.9,2021-01-21 00:00
212,2888258.6,7784329.3,0.0,0.0,5979067.0,4693520.9,2021-01-22 00:00
213,7135537.7,18831444.0,0.0,0.0,18714889.5,7252092.2,2021-01-23 00:00
214,4918391.4,7385714.7,817083.7,0.0,9151166.0,3970023.8,2021-01-24 00:00
215,2767456.4000000004,7193116.6,0.0,0.0,7302487.1,2658085.9000000004,2021-01-25 00:00
216,2653681.3000000003,5854261.62,0.0,0.0,8116387.2,391555.72,2021-01-26 00:00
217,1189526.0699999998,2405831.75,795582.6,0.0,2390182.1,2000758.32,2021-01-27 00:00
218,3879459.3,8829387.2,0.0,0.0,6502942.0,6205904.5,2021-01-28 00:00
219,5009209.2,11021279.2,0.0,0.0,5470584.2,10559904.2,2021-01-29 00:00
220,14440160.5,38893863.0,872821.3,0.0,35055701.0,19151143.8,2021-01-30 00:00
221,4292183.399999999,10109322.1,0.0,0.0,11602577.8,2798927.7,2021-01-31 00:00
222,5012972.2,10598052.2,0.0,0.0,12603673.0,3007351.4,2021-02-01 00:00
223,5369875.800000001,12755405.5,0.0,0.0,10759033.2,7366248.1,2021-02-02 00:00
224,7583207.3,24117100.0,951276.56,0.0,26463350.06,6188233.8,2021-02-03 00:00
225,5143992.1,11279265.2,0.0,0.0,11892158.5,4531098.800000001,2021-02-04 00:00
226,4941129.8,10964993.0,0.0,0.0,8505031.3,7401091.5,2021-02-05 00:00
227,13108250.5,35888756.0,3593844.0,0.0,46651683.0,5939167.5,2021-02-06 00:00
228,15560530.0,40972702.0,1045046.8,0.0,40864220.8,16714058.0,2021-02-07 00:00
229,6382656.0,13588724.2,0.0,0.0,13862773.0,6108607.2,2021-02-08 00:00
230,5097219.0,10594756.5,785704.4,2093614.0,7575519.5,10995774.4,2021-02-09 00:00
231,11062717.0,24877123.0,0.0,0.0,31072264.0,4867576.0,2021-02-10 00:00
232,9451658.8,27994841.0,2864588.0,0.0,30793956.0,9517131.8,2021-02-11 00:00
233,8504291.1,24469899.0,0.0,0.0,26150104.0,6824086.1,2021-02-12 00:00
234,3717118.94,10009968.0,0.0,0.0,10019472.5,3707614.44,2021-02-13 00:00
