date,avg_gas_cost
2019-01-28 00:00,3512784934.1828000000
2019-01-29 00:00,3720158396.8606000000
2019-01-30 00:00,4466072850.4218000000
2019-01-31 00:00,4350178663.3323000000
2019-02-01 00:00,3497710767.7512000000
2019-02-02 00:00,3340900724.7649000000
2019-02-03 00:00,3487975600.1503000000
2019-02-04 00:00,3386444197.9286000000
2019-02-05 00:00,3701789664.6351000000
2019-02-06 00:00,3721170846.7247000000
2019-02-07 00:00,3967658261.4985000000
2019-02-08 00:00,3459543180.6157000000
2019-02-09 00:00,3670576331.3355000000
2019-02-10 00:00,4039417534.4412000000
2019-02-11 00:00,4104779805.7676000000
2019-02-12 00:00,5292990769.0297000000
2019-02-13 00:00,4761120189.6483000000
2019-02-14 00:00,6209542196.7989000000
2019-02-15 00:00,4924503168.9638000000
2019-02-16 00:00,4905065170.6828000000
2019-02-17 00:00,7567385581.6661000000
2019-02-18 00:00,6468076253.6523000000
2019-02-19 00:00,6525269988.5736000000
2019-02-20 00:00,6677661664.6987000000
2019-02-21 00:00,6166495697.0222000000
2019-02-22 00:00,4772448139.2286000000
2019-02-23 00:00,6597708618.0000000000
2019-02-24 00:00,8197813436.9460000000
2019-02-25 00:00,7534273757.2534000000
2019-02-26 00:00,6239901436.1091000000
2019-02-27 00:00,8027716058.7183000000
2019-02-28 00:00,3317493619.5055000000
2019-03-01 00:00,3103496704.2279000000
2019-03-02 00:00,3135116664.1166000000
2019-03-03 00:00,3332647432.3465000000
2019-03-04 00:00,3407825870.5281000000
2019-03-05 00:00,3286462670.4926000000
2019-03-06 00:00,3335616239.9298000000
2019-03-07 00:00,3242257453.6389000000
2019-03-08 00:00,3014203000.5940000000
2019-03-09 00:00,2657128020.0038000000
2019-03-10 00:00,2345343325.5854000000
2019-03-11 00:00,2442654683.2470000000
2019-03-12 00:00,2470971465.0189000000
2019-03-13 00:00,2274081964.3979000000
2019-03-14 00:00,2378924487.8845000000
2019-03-15 00:00,2143298916.4976000000
2019-03-16 00:00,2141720431.9252000000
2019-03-17 00:00,2511486733.8315000000
2019-03-18 00:00,2726895772.2123000000
2019-03-19 00:00,2465703199.2727000000
2019-03-20 00:00,3233362397.4730000000
2019-03-21 00:00,2796453729.9301000000
2019-03-22 00:00,2307213953.7521000000
2019-03-23 00:00,2420680655.9762000000
2019-03-24 00:00,3187350943.8700000000
2019-03-25 00:00,3176967731.4237000000
2019-03-26 00:00,3440655947.1048000000
2019-03-27 00:00,2914611370.5175000000
2019-03-28 00:00,3524483352.3556000000
2019-03-29 00:00,2953140849.5348000000
2019-03-30 00:00,2938949317.2221000000
2019-03-31 00:00,3726702778.7422000000
2019-04-01 00:00,4823649583.0044000000
2019-04-02 00:00,6337528781.4626000000
2019-04-03 00:00,5066959509.7452000000
2019-04-04 00:00,3233141238.3893000000
2019-04-05 00:00,2461768889.9707000000
2019-04-06 00:00,2303165436.4836000000
2019-04-07 00:00,3100699339.1189000000
2019-04-08 00:00,2716398967.8297000000
2019-04-09 00:00,3148420773.6366000000
2019-04-10 00:00,4025505698.2538000000
2019-04-11 00:00,3462185023.9185000000
2019-04-12 00:00,2708386372.5217000000
2019-04-13 00:00,2230158062.8575000000
2019-04-14 00:00,2678045687.7270000000
2019-04-15 00:00,3091070606.3968000000
2019-04-16 00:00,3148606077.9535000000
2019-04-17 00:00,3641122135.2885000000
2019-04-18 00:00,2636723110.3970000000
2019-04-19 00:00,2450540026.9570000000
2019-04-20 00:00,2589979572.1690000000
2019-04-21 00:00,2661346020.5309000000
2019-04-22 00:00,2866696573.6560000000
2019-04-23 00:00,2726953216.7049000000
2019-04-24 00:00,2456190874.0317000000
2019-04-25 00:00,3127452856.7203000000
2019-04-26 00:00,2234557525.0582000000
2019-04-27 00:00,2344764520.6824000000
2019-04-28 00:00,2360886064.4582000000
2019-04-29 00:00,2602158885.7229000000
2019-04-30 00:00,2693511483.7043000000
2019-05-01 00:00,3159210254.7451000000
2019-05-02 00:00,2870543712.0501000000
2019-05-03 00:00,2435437180.7838000000
2019-05-04 00:00,2438868489.1411000000
2019-05-05 00:00,3248631990.6103000000
2019-05-06 00:00,4486925429.1102000000
2019-05-07 00:00,3294072450.4929000000
2019-05-08 00:00,3112272640.0465000000
2019-05-09 00:00,3550510822.1381000000
2019-05-10 00:00,2784988606.9614000000
2019-05-11 00:00,2859953999.2782000000
2019-05-12 00:00,3977155565.9703000000
2019-05-13 00:00,5222056541.3464000000
2019-05-14 00:00,6433136707.4165000000
2019-05-15 00:00,10382259043.7513000000
2019-05-16 00:00,7433195766.6041000000
2019-05-17 00:00,5143671224.9688000000
2019-05-18 00:00,3578575656.7922000000
2019-05-19 00:00,4093411869.6056000000
2019-05-20 00:00,3227542355.1139000000
2019-05-21 00:00,4891769314.6861000000
2019-05-22 00:00,3996210429.3862000000
2019-05-23 00:00,4532019251.9201000000
2019-05-24 00:00,2638958851.2329000000
2019-05-25 00:00,2344365202.2959000000
2019-05-26 00:00,5346448161.1771000000
2019-05-27 00:00,5524044289.3529000000
2019-05-28 00:00,6066104483.7887000000
2019-05-29 00:00,6840331144.8554000000
2019-05-30 00:00,5266851598.6944000000
2019-05-31 00:00,6538604873.7669000000
2019-06-01 00:00,2939267916.5692000000
2019-06-02 00:00,3999429446.0769000000
2019-06-03 00:00,3668925371.0422000000
2019-06-04 00:00,3507668683.7893000000
2019-06-05 00:00,3976443873.5783000000
2019-06-06 00:00,2817339460.7516000000
2019-06-07 00:00,8765689755.6928000000
2019-06-08 00:00,2578904404.2067000000
2019-06-09 00:00,8904047709.1940000000
2019-06-10 00:00,6001803566.4319000000
2019-06-11 00:00,2970415066.8529000000
2019-06-12 00:00,2482210968.7678000000
2019-06-13 00:00,3397351407.0615000000
2019-06-14 00:00,6029049214.1094000000
2019-06-15 00:00,2660463458.5033000000
2019-06-16 00:00,7243832899.8614000000
2019-06-17 00:00,3327986314.6086000000
2019-06-18 00:00,4325760921.3910000000
2019-06-19 00:00,8953718338.3676000000
2019-06-20 00:00,2659658269.3082000000
2019-06-21 00:00,2367236312.6460000000
2019-06-22 00:00,3285803768.3253000000
2019-06-23 00:00,3683950064.4026000000
2019-06-24 00:00,8091122010.9111000000
2019-06-25 00:00,5717236986.1571000000
2019-06-26 00:00,6448055480.4677000000
2019-06-27 00:00,8252601126.4335000000
2019-06-28 00:00,4045281281.5220000000
2019-06-29 00:00,4369404925.0327000000
2019-06-30 00:00,9734390671.7389000000
2019-07-01 00:00,5869464953.7180000000
2019-07-02 00:00,2573875230.6722000000
