date,supply
2018-08-30 00:00,99587518.2182300000
2018-08-31 00:00,99605262.8432300000
2018-09-01 00:00,99623436.1869800000
2018-09-02 00:00,99641198.9994800000
2018-09-03 00:00,99659203.5932300000
2018-09-04 00:00,99677166.3744800000
2018-09-05 00:00,99695403.0932300000
2018-09-06 00:00,99713236.3119800000
2018-09-07 00:00,99731138.8119800000
2018-09-08 00:00,99748933.2182300000
2018-09-09 00:00,99767046.6557300000
2018-09-10 00:00,99785137.5932300000
2018-09-11 00:00,99803353.1244800000
2018-09-12 00:00,99821456.5307300000
2018-09-13 00:00,99839739.1869800000
2018-09-14 00:00,99857979.8432300000
2018-09-15 00:00,99876401.3432300000
2018-09-16 00:00,99894727.0307300000
2018-09-17 00:00,99912715.0307300000
2018-09-18 00:00,99931168.2182300000
2018-09-19 00:00,99949300.8744800000
2018-09-20 00:00,99967647.2807300000
2018-09-21 00:00,99985844.7182300000
2018-09-22 00:00,100004163.6557300000
2018-09-23 00:00,100022468.4369800000
2018-09-24 00:00,100040886.2807300000
2018-09-25 00:00,100059307.2182300000
2018-09-26 00:00,100077636.8432300000
2018-09-27 00:00,100096011.0932300000
2018-09-28 00:00,100114369.5932300000
2018-09-29 00:00,100132793.5307300000
2018-09-30 00:00,100151154.5619800000
2018-10-01 00:00,100169769.7494800000
2018-10-02 00:00,100188073.0307300000
2018-10-03 00:00,100206583.7807300000
2018-10-04 00:00,100224951.4682300000
2018-10-05 00:00,100243686.1869800000
2018-10-06 00:00,100262476.5932300000
2018-10-07 00:00,100281085.0307300000
2018-10-08 00:00,100299604.4994800000
2018-10-09 00:00,100318178.4369800000
2018-10-10 00:00,100336684.4994800000
2018-10-11 00:00,100355264.9994800000
2018-10-12 00:00,100373864.8119800000
2018-10-13 00:00,100392482.9057300000
2018-10-14 00:00,100410843.9369800000
2018-10-15 00:00,100429262.9994800000
2018-10-16 00:00,100447728.3744800000
2018-10-17 00:00,100466230.1244800000
2018-10-18 00:00,100484504.4369800000
2018-10-19 00:00,100503052.7807300000
2018-10-20 00:00,100521500.1557300000
2018-10-21 00:00,100539772.6869800000
2018-10-22 00:00,100558354.9682300000
2018-10-23 00:00,100576802.9994800000
2018-10-24 00:00,100595242.8744800000
2018-10-25 00:00,100613689.0307300000
2018-10-26 00:00,100632062.4369800000
2018-10-27 00:00,100650544.7807300000
2018-10-28 00:00,100668955.3119800000
2018-10-29 00:00,100687161.1869800000
2018-10-30 00:00,100705708.3119800000
2018-10-31 00:00,100723991.9994800000
2018-11-01 00:00,100742272.3119800000
2018-11-02 00:00,100760698.4057300000
2018-11-03 00:00,100779099.0932300000
2018-11-04 00:00,100797406.1244800000
2018-11-05 00:00,100815676.2182300000
2018-11-06 00:00,100834185.3744800000
2018-11-07 00:00,100852460.7182300000
2018-11-08 00:00,100870807.9682300000
2018-11-09 00:00,100889225.8119800000
2018-11-10 00:00,100907662.6869800000
2018-11-11 00:00,100926243.8432300000
2018-11-12 00:00,100944604.0307300000
2018-11-13 00:00,100962889.4994800000
2018-11-14 00:00,100981176.1869800000
2018-11-15 00:00,100999787.4369800000
2018-11-16 00:00,101018186.4369800000
2018-11-17 00:00,101036728.7807300000
2018-11-18 00:00,101054797.4057300000
2018-11-19 00:00,101072953.5932300000
2018-11-20 00:00,101091429.6557300000
2018-11-21 00:00,101109683.9057300000
2018-11-22 00:00,101128107.2807300000
2018-11-23 00:00,101146525.2182300000
2018-11-24 00:00,101165045.1557300000
2018-11-25 00:00,101183326.6869800000
2018-11-26 00:00,101201377.6869800000
2018-11-27 00:00,101219523.9369800000
2018-11-28 00:00,101237951.5307300000
2018-11-29 00:00,101256156.0932300000
2018-11-30 00:00,101274385.8744800000
2018-12-01 00:00,101292622.1244800000
2018-12-02 00:00,101310776.6244800000
2018-12-03 00:00,101328950.5307300000
2018-12-04 00:00,101347062.6557300000
2018-12-05 00:00,101365287.4682300000
2018-12-06 00:00,101383261.0307300000
2018-12-07 00:00,101401384.0307300000
2018-12-08 00:00,101419721.5307300000
2018-12-09 00:00,101438304.1869800000
2018-12-10 00:00,101456307.5619800000
2018-12-11 00:00,101474585.5307300000
2018-12-12 00:00,101492929.6869800000
2018-12-13 00:00,101511021.6557300000
2018-12-14 00:00,101529420.2807300000
2018-12-15 00:00,101547588.8432300000
2018-12-16 00:00,101565311.8119800000
2018-12-17 00:00,101582941.2182300000
2018-12-18 00:00,101600533.4057300000
2018-12-19 00:00,101618137.2182300000
2018-12-20 00:00,101635695.6557300000
2018-12-21 00:00,101653516.6869800000
2018-12-22 00:00,101671157.9994800000
2018-12-23 00:00,101688984.6557300000
2018-12-24 00:00,101706928.2182300000
2018-12-25 00:00,101724860.5307300000
2018-12-26 00:00,101742585.0932300000
2018-12-27 00:00,101760351.7494800000
