date,daily_block_reward
2016-06-22 00:00,388342.4001000000
2016-06-23 00:00,420960.2383000000
2016-06-24 00:00,429034.3429000000
2016-06-25 00:00,428881.6933000000
2016-06-26 00:00,424394.0991000000
2016-06-27 00:00,414018.4767000000
2016-06-28 00:00,359113.7099000000
2016-06-29 00:00,373699.2968000000
2016-06-30 00:00,362822.6696000000
2016-07-01 00:00,362449.8521000000
2016-07-02 00:00,363052.6299000000
2016-07-03 00:00,349119.9267000000
2016-07-04 00:00,304126.5512000000
2016-07-05 00:00,324712.8515000000
2016-07-06 00:00,304424.4886000000
2016-07-07 00:00,309592.4191000000
2016-07-08 00:00,332714.5067000000
2016-07-09 00:00,333163.2694000000
2016-07-10 00:00,313071.0108000000
2016-07-11 00:00,322255.8852000000
2016-07-12 00:00,321746.0803000000
2016-07-13 00:00,330715.2338000000
2016-07-14 00:00,360836.9525000000
2016-07-15 00:00,357951.3313000000
2016-07-16 00:00,344008.5819000000
2016-07-17 00:00,352738.7904000000
2016-07-18 00:00,332797.9976000000
2016-07-19 00:00,362505.1501000000
2016-07-20 00:00,381075.6674000000
2016-07-21 00:00,414734.5885000000
2016-07-22 00:00,444284.7751000000
2016-07-23 00:00,389952.7783000000
2016-07-24 00:00,397682.6183000000
2016-07-25 00:00,366651.8228000000
2016-07-26 00:00,392169.0097000000
2016-07-27 00:00,381701.3991000000
2016-07-28 00:00,378262.8555000000
2016-07-29 00:00,379127.4966000000
2016-07-30 00:00,371189.7338000000
2016-07-31 00:00,346144.0105000000
2016-08-01 00:00,310728.3637000000
2016-08-02 00:00,294861.4746000000
2016-08-03 00:00,341117.9096000000
2016-08-04 00:00,336396.3238000000
2016-08-05 00:00,311391.0987000000
2016-08-06 00:00,336686.7304000000
2016-08-07 00:00,335882.2314000000
2016-08-08 00:00,365418.5009000000
2016-08-09 00:00,374103.4809000000
2016-08-10 00:00,356401.3581000000
2016-08-11 00:00,360410.9569000000
2016-08-12 00:00,355866.3887000000
2016-08-13 00:00,345840.7041000000
2016-08-14 00:00,339462.5593000000
2016-08-15 00:00,335109.5112000000
2016-08-16 00:00,333009.2109000000
2016-08-17 00:00,334781.6054000000
