date,unit_computing_income
2016-11-17 00:00,0.0619000000
2016-11-18 00:00,0.0568000000
2016-11-19 00:00,0.0520000000
2016-11-20 00:00,0.0483000000
2016-11-21 00:00,0.0519000000
2016-11-22 00:00,0.0545000000
2016-11-23 00:00,0.0583000000
2016-11-24 00:00,0.0594000000
2016-11-25 00:00,0.0568000000
2016-11-26 00:00,0.0575000000
2016-11-27 00:00,0.0542000000
2016-11-28 00:00,0.0499000000
2016-11-29 00:00,0.0515000000
2016-11-30 00:00,0.0510000000
2016-12-01 00:00,0.0475000000
2016-12-02 00:00,0.0452000000
2016-12-03 00:00,0.0431000000
2016-12-04 00:00,0.0419000000
2016-12-05 00:00,0.0408000000
2016-12-06 00:00,0.0448000000
2016-12-07 00:00,0.0484000000
2016-12-08 00:00,0.0449000000
2016-12-09 00:00,0.0435000000
2016-12-10 00:00,0.0420000000
2016-12-11 00:00,0.0438000000
2016-12-12 00:00,0.0434000000
2016-12-13 00:00,0.0435000000
2016-12-14 00:00,0.0411000000
2016-12-15 00:00,0.0396000000
2016-12-16 00:00,0.0384000000
2016-12-17 00:00,0.0379000000
2016-12-18 00:00,0.0370000000
2016-12-19 00:00,0.0359000000
2016-12-20 00:00,0.0367000000
2016-12-21 00:00,0.0366000000
2016-12-22 00:00,0.0380000000
2016-12-23 00:00,0.0401000000
2016-12-24 00:00,0.0389000000
2016-12-25 00:00,0.0372000000
2016-12-26 00:00,0.0378000000
2016-12-27 00:00,0.0386000000
2016-12-28 00:00,0.0440000000
2016-12-29 00:00,0.0445000000
2016-12-30 00:00,0.0421000000
2016-12-31 00:00,0.0440000000
2017-01-01 00:00,0.0433000000
2017-01-02 00:00,0.0466000000
2017-01-03 00:00,0.0510000000
2017-01-04 00:00,0.0496000000
2017-01-05 00:00,0.0465000000
2017-01-06 00:00,0.0446000000
2017-01-07 00:00,0.0451000000
2017-01-08 00:00,0.0457000000
2017-01-09 00:00,0.0450000000
2017-01-10 00:00,0.0432000000
2017-01-11 00:00,0.0405000000
2017-01-12 00:00,0.0403000000
2017-01-13 00:00,0.0400000000
2017-01-14 00:00,0.0400000000
2017-01-15 00:00,0.0393000000
2017-01-16 00:00,0.0410000000
2017-01-17 00:00,0.0425000000
2017-01-18 00:00,0.0407000000
2017-01-19 00:00,0.0419000000
2017-01-20 00:00,0.0421000000
2017-01-21 00:00,0.0423000000
2017-01-22 00:00,0.0411000000
2017-01-23 00:00,0.0412000000
2017-01-24 00:00,0.0406000000
2017-01-25 00:00,0.0401000000
2017-01-26 00:00,0.0396000000
2017-01-27 00:00,0.0401000000
2017-01-28 00:00,0.0402000000
2017-01-29 00:00,0.0402000000
2017-01-30 00:00,0.0400000000
2017-01-31 00:00,0.0407000000
2017-02-01 00:00,0.0399000000
2017-02-02 00:00,0.0407000000
2017-02-03 00:00,0.0425000000
2017-02-04 00:00,0.0404000000
2017-02-05 00:00,0.0402000000
2017-02-06 00:00,0.0406000000
2017-02-07 00:00,0.0402000000
2017-02-08 00:00,0.0391000000
2017-02-09 00:00,0.0378000000
2017-02-10 00:00,0.0387000000
2017-02-11 00:00,0.0382000000
2017-02-12 00:00,0.0378000000
2017-02-13 00:00,0.0403000000
2017-02-14 00:00,0.0423000000
2017-02-15 00:00,0.0419000000
2017-02-16 00:00,0.0409000000
2017-02-17 00:00,0.0403000000
2017-02-18 00:00,0.0398000000
2017-02-19 00:00,0.0397000000
2017-02-20 00:00,0.0384000000
2017-02-21 00:00,0.0386000000
2017-02-22 00:00,0.0391000000
2017-02-23 00:00,0.0398000000
2017-02-24 00:00,0.0400000000
2017-02-25 00:00,0.0398000000
2017-02-26 00:00,0.0416000000
2017-02-27 00:00,0.0435000000
2017-02-28 00:00,0.0446000000
2017-03-01 00:00,0.0507000000
2017-03-02 00:00,0.0527000000
2017-03-03 00:00,0.0523000000
2017-03-04 00:00,0.0492000000
2017-03-05 00:00,0.0501000000
2017-03-06 00:00,0.0493000000
2017-03-07 00:00,0.0449000000
2017-03-08 00:00,0.0426000000
2017-03-09 00:00,0.0450000000
2017-03-10 00:00,0.0483000000
2017-03-11 00:00,0.0537000000
2017-03-12 00:00,0.0645000000
2017-03-13 00:00,0.0675000000
2017-03-14 00:00,0.0701000000
2017-03-15 00:00,0.0929000000
2017-03-16 00:00,0.1020000000
2017-03-17 00:00,0.0844000000
2017-03-18 00:00,0.0887000000
2017-03-19 00:00,0.0932000000
2017-03-20 00:00,0.0922000000
2017-03-21 00:00,0.0876000000
2017-03-22 00:00,0.0844000000
2017-03-23 00:00,0.0936000000
2017-03-24 00:00,0.1020000000
2017-03-25 00:00,0.0977000000
2017-03-26 00:00,0.0938000000
2017-03-27 00:00,0.0933000000
2017-03-28 00:00,0.0962000000
2017-03-29 00:00,0.0955000000
2017-03-30 00:00,0.0897000000
2017-03-31 00:00,0.0901000000
2017-04-01 00:00,0.0884000000
2017-04-02 00:00,0.0868000000
2017-04-03 00:00,0.0775000000
2017-04-04 00:00,0.0801000000
2017-04-05 00:00,0.0763000000
2017-04-06 00:00,0.0743000000
2017-04-07 00:00,0.0754000000
2017-04-08 00:00,0.0741000000
2017-04-09 00:00,0.0726000000
2017-04-10 00:00,0.0720000000
2017-04-11 00:00,0.0729000000
2017-04-12 00:00,0.0816000000
2017-04-13 00:00,0.0758000000
2017-04-14 00:00,0.0753000000
2017-04-15 00:00,0.0762000000
2017-04-16 00:00,0.0751000000
2017-04-17 00:00,0.0751000000
2017-04-18 00:00,0.0751000000
2017-04-19 00:00,0.0742000000
2017-04-20 00:00,0.0731000000
2017-04-21 00:00,0.0708000000
2017-04-22 00:00,0.0702000000
2017-04-23 00:00,0.0733000000
2017-04-24 00:00,0.0725000000
2017-04-25 00:00,0.0725000000
2017-04-26 00:00,0.0790000000
2017-04-27 00:00,0.0866000000
2017-04-28 00:00,0.0880000000
2017-04-29 00:00,0.0934000000
2017-04-30 00:00,0.1010000000
2017-05-01 00:00,0.0985000000
2017-05-02 00:00,0.0978000000
2017-05-03 00:00,0.1090000000
2017-05-04 00:00,0.1130000000
2017-05-05 00:00,0.1110000000
2017-05-06 00:00,0.1130000000
2017-05-07 00:00,0.1070000000
2017-05-08 00:00,0.0982000000
2017-05-09 00:00,0.1030000000
2017-05-10 00:00,0.1010000000
2017-05-11 00:00,0.0996000000
2017-05-12 00:00,0.0972000000
2017-05-13 00:00,0.0934000000
2017-05-14 00:00,0.0931000000
2017-05-15 00:00,0.0910000000
2017-05-16 00:00,0.0913000000
2017-05-17 00:00,0.0962000000
2017-05-18 00:00,0.1120000000
2017-05-19 00:00,0.1230000000
2017-05-20 00:00,0.1270000000
2017-05-21 00:00,0.1530000000
2017-05-22 00:00,0.1580000000
2017-05-23 00:00,0.1770000000
2017-05-24 00:00,0.1840000000
2017-05-25 00:00,0.1680000000
2017-05-26 00:00,0.1360000000
2017-05-27 00:00,0.1540000000
2017-05-28 00:00,0.1560000000
2017-05-29 00:00,0.1760000000
2017-05-30 00:00,0.1920000000
2017-05-31 00:00,0.1730000000
2017-06-01 00:00,0.1700000000
2017-06-02 00:00,0.1660000000
2017-06-03 00:00,0.1730000000
2017-06-04 00:00,0.1780000000
2017-06-05 00:00,0.1810000000
2017-06-06 00:00,0.1780000000
2017-06-07 00:00,0.1730000000
2017-06-08 00:00,0.1810000000
2017-06-09 00:00,0.1950000000
2017-06-10 00:00,0.2160000000
2017-06-11 00:00,0.2390000000
2017-06-12 00:00,0.2410000000
2017-06-13 00:00,0.2270000000
2017-06-14 00:00,0.1940000000
2017-06-15 00:00,0.2050000000
2017-06-16 00:00,0.2030000000
2017-06-17 00:00,0.2040000000
2017-06-18 00:00,0.2000000000
2017-06-19 00:00,0.1890000000
2017-06-20 00:00,0.1710000000
2017-06-21 00:00,0.1660000000
2017-06-22 00:00,0.1660000000
2017-06-23 00:00,0.1600000000
2017-06-24 00:00,0.1450000000
2017-06-25 00:00,0.1270000000
2017-06-26 00:00,0.1150000000
2017-06-27 00:00,0.1380000000
2017-06-28 00:00,0.1410000000
2017-06-29 00:00,0.1310000000
2017-06-30 00:00,0.1180000000
2017-07-01 00:00,0.1170000000
2017-07-02 00:00,0.1210000000
2017-07-03 00:00,0.1180000000
2017-07-04 00:00,0.1140000000
2017-07-05 00:00,0.1120000000
2017-07-06 00:00,0.1070000000
2017-07-07 00:00,0.1010000000
2017-07-08 00:00,0.0997000000
2017-07-09 00:00,0.0825000000
2017-07-10 00:00,0.0707000000
2017-07-11 00:00,0.0753000000
2017-07-12 00:00,0.0759000000
2017-07-13 00:00,0.0727000000
2017-07-14 00:00,0.0668000000
2017-07-15 00:00,0.0551000000
2017-07-16 00:00,0.0624000000
