date,ethe_otc_premium
2021-08-13 00:00,-0.0472317798
2021-08-14 00:00,-0.0472317798
2021-08-15 00:00,-0.1032608696
2021-08-16 00:00,-0.1286821705
2021-08-17 00:00,-0.1098153547
2021-08-18 00:00,-0.0578673602
2021-08-19 00:00,-0.0580329872
2021-08-20 00:00,-0.0580329872
2021-08-21 00:00,-0.0580329872
2021-08-22 00:00,-0.0507917538
2021-08-23 00:00,-0.0675962413
2021-08-24 00:00,-0.0459770115
2021-08-25 00:00,-0.0711362921
2021-08-26 00:00,-0.0345471522
2021-08-27 00:00,-0.0345471522
2021-08-28 00:00,-0.0345471522
2021-08-29 00:00,-0.0057926829
2021-08-30 00:00,-0.0280732861
2021-08-31 00:00,-0.0069579738
2021-09-01 00:00,-0.052617801
2021-09-02 00:00,-0.0203562341
2021-09-03 00:00,-0.0203562341
2021-09-04 00:00,-0.0203562341
2021-09-05 00:00,-0.0203562341
2021-09-06 00:00,-0.0889436234
2021-09-07 00:00,0.0031893302
2021-09-08 00:00,-0.0542372881
2021-09-09 00:00,-0.0724765258
2021-09-10 00:00,-0.0724765258
2021-09-11 00:00,-0.0724765258
2021-09-12 00:00,-0.0617059891
2021-09-13 00:00,-0.0534124629
2021-09-14 00:00,-0.0154905336
2021-09-15 00:00,-0.0514160022
2021-09-16 00:00,-0.0602272727
2021-09-17 00:00,-0.0602272727
2021-09-18 00:00,-0.0602272727
2021-09-19 00:00,-0.0592168099
2021-09-20 00:00,-0.0699300699
2021-09-21 00:00,0.0075757576
2021-09-22 00:00,-0.0229738354
2021-09-23 00:00,-0.0281546811
2021-09-24 00:00,-0.0281546811
2021-09-25 00:00,-0.0281546811
2021-09-26 00:00,-0.0690652104
2021-09-27 00:00,-0.0820285909
2021-09-28 00:00,-0.0827015851
2021-09-29 00:00,-0.0485599464
2021-09-30 00:00,-0.0103578154
2021-10-01 00:00,-0.0103578154
2021-10-02 00:00,-0.0103578154
2021-10-03 00:00,-0.0499265786
2021-10-04 00:00,-0.020242915
2021-10-05 00:00,-0.0219471019
2021-10-06 00:00,-0.0484764543
2021-10-07 00:00,-0.048205971
2021-10-08 00:00,-0.048205971
2021-10-09 00:00,-0.048205971
2021-10-10 00:00,-0.048205971
2021-10-11 00:00,-0.0982117513
2021-10-12 00:00,-0.0690733371
2021-10-13 00:00,-0.0662393162
2021-10-14 00:00,-0.0840052016
2021-10-15 00:00,-0.0840052016
2021-10-16 00:00,-0.0840052016
2021-10-17 00:00,-0.0884978992
2021-10-18 00:00,-0.0708867382
2021-10-19 00:00,-0.0395620801
2021-10-20 00:00,-0.0983372922
2021-10-21 00:00,-0.0812928501
2021-10-22 00:00,-0.0812928501
2021-10-23 00:00,-0.0812928501
2021-10-24 00:00,-0.0433014354
2021-10-25 00:00,-0.0611281567
2021-10-26 00:00,-0.08042379
2021-10-27 00:00,-0.0205611998
2021-10-28 00:00,-0.0289821999
2021-10-29 00:00,-0.0289821999
