date,mining_difficulty
2020-05-08 00:00,2296032561431044.5000000000
2020-05-09 00:00,2238801051297930.2000000000
2020-05-10 00:00,2266229446610841.0000000000
2020-05-11 00:00,2267369734470453.5000000000
2020-05-12 00:00,2249313603134105.5000000000
2020-05-13 00:00,2283144008147733.5000000000
2020-05-14 00:00,2328703338912240.5000000000
2020-05-15 00:00,2276286945701521.0000000000
2020-05-16 00:00,2326027702884292.5000000000
2020-05-17 00:00,2271760571777528.5000000000
2020-05-18 00:00,2243005251533392.0000000000
2020-05-19 00:00,2298306236459587.5000000000
2020-05-20 00:00,2237935660781974.5000000000
2020-05-21 00:00,2258238009290892.0000000000
2020-05-22 00:00,2273517993332849.0000000000
2020-05-23 00:00,2304280260143808.0000000000
2020-05-24 00:00,2261999876139778.0000000000
2020-05-25 00:00,2240723517554043.0000000000
2020-05-26 00:00,2295607661680223.0000000000
2020-05-27 00:00,2259740315326213.5000000000
2020-05-28 00:00,2275064839745077.5000000000
2020-05-29 00:00,2300421817798648.5000000000
2020-05-30 00:00,2328436403151907.5000000000
2020-05-31 00:00,2299268970197527.0000000000
2020-06-01 00:00,2308870193005033.5000000000
2020-06-02 00:00,2357415462726818.5000000000
2020-06-03 00:00,2367809161583869.0000000000
2020-06-04 00:00,2316215149541601.0000000000
2020-06-05 00:00,2340878836205251.5000000000
2020-06-06 00:00,2366153183550229.5000000000
2020-06-07 00:00,2333226965792032.5000000000
2020-06-08 00:00,2285532003046147.0000000000
2020-06-09 00:00,2277161812493381.5000000000
2020-06-10 00:00,2281666142279979.5000000000
2020-06-11 00:00,2275795289936496.5000000000
2020-06-12 00:00,2291640702193609.0000000000
2020-06-13 00:00,2300611195097722.0000000000
2020-06-14 00:00,2302546237156209.5000000000
2020-06-15 00:00,2353432244676744.0000000000
2020-06-16 00:00,2301869875058642.5000000000
2020-06-17 00:00,2296668695718501.0000000000
2020-06-18 00:00,2330632067612698.0000000000
2020-06-19 00:00,2358638947808511.5000000000
2020-06-20 00:00,2346555009374933.0000000000
2020-06-21 00:00,2319236621103662.0000000000
2020-06-22 00:00,2350414744694582.0000000000
2020-06-23 00:00,2362403070600866.0000000000
2020-06-24 00:00,2405277495851317.0000000000
2020-06-25 00:00,2406898729125858.0000000000
2020-06-26 00:00,2387370406613726.0000000000
2020-06-27 00:00,2341416964363792.0000000000
2020-06-28 00:00,2397434585306383.0000000000
2020-06-29 00:00,2358194560152857.5000000000
2020-06-30 00:00,2337924833209108.0000000000
2020-07-01 00:00,2358316002178235.5000000000
2020-07-02 00:00,2382837225443640.0000000000
2020-07-03 00:00,2408139345124547.5000000000
2020-07-04 00:00,2377379692711719.5000000000
2020-07-05 00:00,2389478679150499.0000000000
2020-07-06 00:00,2349910784244433.0000000000
2020-07-07 00:00,2428374383352907.0000000000
2020-07-08 00:00,2403289182450300.0000000000
2020-07-09 00:00,2391923234608205.0000000000
2020-07-10 00:00,2396733626052188.0000000000
2020-07-11 00:00,2423942793963625.5000000000
2020-07-12 00:00,2444765450655635.5000000000
2020-07-13 00:00,2408928229946060.5000000000
2020-07-14 00:00,2384779411814353.0000000000
2020-07-15 00:00,2416896103550112.0000000000
2020-07-16 00:00,2361179731071035.0000000000
2020-07-17 00:00,2402131429165468.5000000000
2020-07-18 00:00,2424577336023388.5000000000
2020-07-19 00:00,2362943969239775.5000000000
2020-07-20 00:00,2302394293287239.5000000000
2020-07-21 00:00,2277414665187492.5000000000
2020-07-22 00:00,2360072902490137.5000000000
2020-07-23 00:00,2452139788766604.5000000000
2020-07-24 00:00,2383628279878583.0000000000
2020-07-25 00:00,2431627735714086.0000000000
2020-07-26 00:00,2450503517407701.0000000000
2020-07-27 00:00,2511147454504890.5000000000
2020-07-28 00:00,2533983749178492.5000000000
2020-07-29 00:00,2495871543629662.5000000000
2020-07-30 00:00,2394725771169888.5000000000
2020-07-31 00:00,2438660876433141.0000000000
2020-08-01 00:00,2515078245029760.0000000000
2020-08-02 00:00,2428337574608018.0000000000
2020-08-03 00:00,2463090376663397.0000000000
2020-08-04 00:00,2453222927579733.5000000000
2020-08-05 00:00,2452907435653704.0000000000
2020-08-06 00:00,2517385627976665.5000000000
2020-08-07 00:00,2543810196826382.0000000000
2020-08-08 00:00,2592107266849210.0000000000
2020-08-09 00:00,2573426144086275.0000000000
2020-08-10 00:00,2534224747453265.5000000000
2020-08-11 00:00,2562045195725695.5000000000
2020-08-12 00:00,2583444541516727.0000000000
2020-08-13 00:00,2676094378244892.5000000000
2020-08-14 00:00,2729266276900132.5000000000
2020-08-15 00:00,2656590113155241.0000000000
2020-08-16 00:00,2581956623029614.0000000000
2020-08-17 00:00,2477494771429404.5000000000
2020-08-18 00:00,2599290832333313.5000000000
2020-08-19 00:00,2658942685768759.0000000000
2020-08-20 00:00,2728688407264617.5000000000
2020-08-21 00:00,2705913989124254.5000000000
2020-08-22 00:00,2729429916680706.0000000000
2020-08-23 00:00,2726632992222399.0000000000
2020-08-24 00:00,2759996980556278.0000000000
2020-08-25 00:00,2736414093933798.0000000000
2020-08-26 00:00,2725936703670849.5000000000
2020-08-27 00:00,2780535651250194.0000000000
2020-08-28 00:00,2701461372103638.5000000000
2020-08-29 00:00,2744792496012302.5000000000
2020-08-30 00:00,2734388400222548.0000000000
2020-08-31 00:00,2877913837501657.5000000000
2020-09-01 00:00,2875642479832072.5000000000
2020-09-02 00:00,2831203136089072.0000000000
2020-09-03 00:00,2898343215609040.5000000000
2020-09-04 00:00,2948502725143782.0000000000
2020-09-05 00:00,3001690651851681.5000000000
2020-09-06 00:00,3065247185147354.0000000000
2020-09-07 00:00,3017171172340340.0000000000
2020-09-08 00:00,3008318383515627.0000000000
2020-09-09 00:00,2947014642541320.0000000000
2020-09-10 00:00,3036541354983121.0000000000
2020-09-11 00:00,3120636035447349.5000000000
2020-09-12 00:00,3097044823687514.5000000000
2020-09-13 00:00,3086726037424333.0000000000
2020-09-14 00:00,3104339410851704.0000000000
2020-09-15 00:00,3066219663070574.0000000000
2020-09-16 00:00,3161324898155353.5000000000
2020-09-17 00:00,3119651085565600.5000000000
2020-09-18 00:00,3137160833521535.5000000000
2020-09-19 00:00,3154588512246473.5000000000
2020-09-20 00:00,3195676252018397.0000000000
2020-09-21 00:00,3181617263440927.5000000000
2020-09-22 00:00,3217664709040361.0000000000
2020-09-23 00:00,3130960740091478.5000000000
2020-09-24 00:00,3153233878349729.5000000000
2020-09-25 00:00,3250859749657511.5000000000
2020-09-26 00:00,3271996303637277.5000000000
2020-09-27 00:00,3243630966422529.5000000000
2020-09-28 00:00,3248427407300184.5000000000
2020-09-29 00:00,3265335101732197.0000000000
2020-09-30 00:00,3263944544478822.0000000000
2020-10-01 00:00,3285464356642570.5000000000
2020-10-02 00:00,3214966887396683.5000000000
2020-10-03 00:00,3253576702855774.5000000000
2020-10-04 00:00,3260943533891046.5000000000
2020-10-05 00:00,3395394840015044.0000000000
2020-10-06 00:00,3375601624428875.0000000000
2020-10-07 00:00,3298383158577502.0000000000
2020-10-08 00:00,3313688679253436.5000000000
2020-10-09 00:00,3335071733759515.0000000000
2020-10-10 00:00,3273613988700544.5000000000
2020-10-11 00:00,3295415173097567.5000000000
2020-10-12 00:00,3320626416389521.0000000000
2020-10-13 00:00,3280414754244734.5000000000
2020-10-14 00:00,3342046996183290.5000000000
2020-10-15 00:00,3340556340122482.0000000000
2020-10-16 00:00,3336068285963840.5000000000
2020-10-17 00:00,3255740030385157.5000000000
2020-10-18 00:00,3327406853917110.0000000000
2020-10-19 00:00,3347671597428219.5000000000
2020-10-20 00:00,3334356718930768.5000000000
2020-10-21 00:00,3334919245873053.5000000000
2020-10-22 00:00,3384219153715645.5000000000
2020-10-23 00:00,3394024117823437.0000000000
2020-10-24 00:00,3359523213986936.0000000000
2020-10-25 00:00,3248183933553452.5000000000
2020-10-26 00:00,3293520689318594.0000000000
2020-10-27 00:00,3325639122632421.5000000000
2020-10-28 00:00,3402790966777639.0000000000
2020-10-29 00:00,3352477979523815.0000000000
2020-10-30 00:00,3350094346686313.5000000000
2020-10-31 00:00,3396058303736025.5000000000
2020-11-01 00:00,3291886304646562.0000000000
2020-11-02 00:00,3349302389368455.0000000000
2020-11-03 00:00,3340653227429578.5000000000
2020-11-04 00:00,3301841311874453.5000000000
2020-11-05 00:00,3392287315741516.0000000000
2020-11-06 00:00,3438418077768391.0000000000
2020-11-07 00:00,3310776947393824.5000000000
2020-11-08 00:00,3360639435095860.0000000000
2020-11-09 00:00,3383060679359212.0000000000
2020-11-10 00:00,3402822885865786.5000000000
2020-11-11 00:00,3358749951865749.0000000000
2020-11-12 00:00,3424202496124308.0000000000
2020-11-13 00:00,3352616740251622.5000000000
2020-11-14 00:00,3451368258202433.5000000000
2020-11-15 00:00,3364915380247729.5000000000
2020-11-16 00:00,3413737859195159.5000000000
2020-11-17 00:00,3416954587954500.0000000000
2020-11-18 00:00,3437561806114526.0000000000
2020-11-19 00:00,3509312614065400.0000000000
2020-11-20 00:00,3495115083251531.5000000000
2020-11-21 00:00,3555933637388629.5000000000
2020-11-22 00:00,3421094478954016.0000000000
2020-11-23 00:00,3513543185232635.0000000000
2020-11-24 00:00,3557961718299247.5000000000
2020-11-25 00:00,3518481442900880.0000000000
2020-11-26 00:00,3556211260649605.0000000000
2020-11-27 00:00,3465398430254377.0000000000
2020-11-28 00:00,3615578620968014.5000000000
2020-11-29 00:00,3616421380264718.0000000000
2020-11-30 00:00,3692341652786690.5000000000
2020-12-01 00:00,3518481675642779.0000000000
2020-12-02 00:00,3610522801304221.0000000000
2020-12-03 00:00,3634624545555760.5000000000
2020-12-04 00:00,3615951349418776.5000000000
2020-12-05 00:00,3629167538704041.5000000000
2020-12-06 00:00,3625009898605124.0000000000
2020-12-07 00:00,3637824091078670.5000000000
2020-12-08 00:00,3633816162748331.5000000000
2020-12-09 00:00,3692368191499607.0000000000
2020-12-10 00:00,3561011789808620.0000000000
2020-12-11 00:00,3597998813947753.5000000000
2020-12-12 00:00,3661125946485025.5000000000
2020-12-13 00:00,3521006611398360.5000000000
2020-12-14 00:00,3567719706190538.0000000000
2020-12-15 00:00,3559678185305950.5000000000
2020-12-16 00:00,3583773287221706.0000000000
2020-12-17 00:00,3632389364634515.5000000000
2020-12-18 00:00,3573611282105321.5000000000
2020-12-19 00:00,3619780104259102.5000000000
2020-12-20 00:00,3677135710104550.0000000000
2020-12-21 00:00,3668281226998021.5000000000
2020-12-22 00:00,3696186559915171.0000000000
2020-12-23 00:00,3684745462184625.0000000000
2020-12-24 00:00,3609206649666031.0000000000
2020-12-25 00:00,3653749826513082.5000000000
2020-12-26 00:00,3650840105813329.5000000000
2020-12-27 00:00,3784430624157644.5000000000
2020-12-28 00:00,3784290652552422.5000000000
2020-12-29 00:00,3670115634168862.0000000000
2020-12-30 00:00,3738495138012947.0000000000
2020-12-31 00:00,3730319203412035.5000000000
2021-01-01 00:00,3851061319889809.0000000000
2021-01-02 00:00,3872311741599890.0000000000
2021-01-03 00:00,3861592638947420.0000000000
2021-01-04 00:00,3864794635694529.0000000000
2021-01-05 00:00,3914136033150552.5000000000
2021-01-06 00:00,3946815543237609.0000000000
2021-01-07 00:00,3962122148552669.0000000000
2021-01-08 00:00,3986181233905388.0000000000
2021-01-09 00:00,4027404540812540.0000000000
2021-01-10 00:00,4071172738615138.5000000000
2021-01-11 00:00,4097644418663071.5000000000
2021-01-12 00:00,4108382916374864.0000000000
2021-01-13 00:00,4216956595340693.5000000000
2021-01-14 00:00,4109040029081946.0000000000
2021-01-15 00:00,4224078505124501.5000000000
2021-01-16 00:00,4116199087495547.0000000000
2021-01-17 00:00,4163781852834071.5000000000
2021-01-18 00:00,4188710615018774.5000000000
2021-01-19 00:00,4271546850575406.5000000000
2021-01-20 00:00,4256980183654251.0000000000
2021-01-21 00:00,4289516755567985.5000000000
2021-01-22 00:00,4345126340793377.5000000000
2021-01-23 00:00,4378304325581592.0000000000
2021-01-24 00:00,4429987821291043.5000000000
2021-01-25 00:00,4438141291558681.0000000000
2021-01-26 00:00,4571346307100908.0000000000
2021-01-27 00:00,4480350873696931.0000000000
2021-01-28 00:00,4439482188307608.5000000000
2021-01-29 00:00,4449471932440097.0000000000
2021-01-30 00:00,4449902091205637.0000000000
2021-01-31 00:00,4615323204058033.0000000000
2021-02-01 00:00,4608799637544496.0000000000
2021-02-02 00:00,4561240946152171.0000000000
2021-02-03 00:00,4644469206701521.0000000000
2021-02-04 00:00,4703172360911602.0000000000
2021-02-05 00:00,4690614393944599.0000000000
2021-02-06 00:00,4823899278622224.0000000000
2021-02-07 00:00,4855305361857667.0000000000
2021-02-08 00:00,4810924673830395.0000000000
2021-02-09 00:00,4807885222068622.0000000000
2021-02-10 00:00,4893209199138048.0000000000
2021-02-11 00:00,4999800460522794.0000000000
2021-02-12 00:00,4989640570800081.0000000000
2021-02-13 00:00,5020239147783304.0000000000
2021-02-14 00:00,5056228352314258.0000000000
2021-02-15 00:00,5070865800248006.0000000000
2021-02-16 00:00,5095312812257136.0000000000
2021-02-17 00:00,5059294820067354.0000000000
2021-02-18 00:00,5135740472805785.0000000000
2021-02-19 00:00,5129307645056865.0000000000
2021-02-20 00:00,5015624642520340.0000000000
2021-02-21 00:00,5236799187467890.0000000000
2021-02-22 00:00,5174240306159530.0000000000
2021-02-23 00:00,5313276168039334.0000000000
2021-02-24 00:00,5251650494155103.0000000000
2021-02-25 00:00,5258615807754347.0000000000
2021-02-26 00:00,5331733062064679.0000000000
2021-02-27 00:00,5340436481638895.0000000000
2021-02-28 00:00,5362932560590135.0000000000
2021-03-01 00:00,5334908572694567.0000000000
2021-03-02 00:00,5257451810666989.0000000000
2021-03-03 00:00,5214411211757959.0000000000
2021-03-04 00:00,5386831571532005.0000000000
2021-03-05 00:00,5517412183834730.0000000000
2021-03-06 00:00,5517677569288320.0000000000
2021-03-07 00:00,5509021232404853.0000000000
2021-03-08 00:00,5481496267494660.0000000000
2021-03-09 00:00,5465561106947873.0000000000
2021-03-10 00:00,5521307853074299.0000000000
2021-03-11 00:00,5421231930104130.0000000000
2021-03-12 00:00,5525855219539957.0000000000
2021-03-13 00:00,5619282219072089.0000000000
2021-03-14 00:00,5625632680868829.0000000000
2021-03-15 00:00,5670986227028379.0000000000
2021-03-16 00:00,5730821738180813.0000000000
2021-03-17 00:00,5661062511244527.0000000000
2021-03-18 00:00,5751325013537211.0000000000
2021-03-19 00:00,5867746634520920.0000000000
2021-03-20 00:00,5881923703823565.0000000000
2021-03-21 00:00,5775728938938752.0000000000
2021-03-22 00:00,5821128568488296.0000000000
2021-03-23 00:00,5805480520432341.0000000000
2021-03-24 00:00,5928275964887131.0000000000
2021-03-25 00:00,6049459607906242.0000000000
2021-03-26 00:00,6034324418052712.0000000000
2021-03-27 00:00,6077682045641178.0000000000
2021-03-28 00:00,6174428057244027.0000000000
2021-03-29 00:00,6159975549777572.0000000000
2021-03-30 00:00,6173046521626463.0000000000
2021-03-31 00:00,6211126833932972.0000000000
2021-04-01 00:00,6288900218108226.0000000000
2021-04-02 00:00,6254700049980300.0000000000
2021-04-03 00:00,6363505328792114.0000000000
2021-04-04 00:00,6540983585044016.0000000000
2021-04-05 00:00,6467736043112269.0000000000
2021-04-06 00:00,6592972083533001.0000000000
2021-04-07 00:00,6629623589862982.0000000000
2021-04-08 00:00,6580639847478083.0000000000
2021-04-09 00:00,6541038114941068.0000000000
2021-04-10 00:00,6462380476994739.0000000000
2021-04-11 00:00,6846623534683949.0000000000
2021-04-12 00:00,6842096246663401.0000000000
2021-04-13 00:00,6844231571180688.0000000000
2021-04-14 00:00,6826078661445667.0000000000
2021-04-15 00:00,6600300125535505.0000000000
2021-04-16 00:00,6677553879182893.0000000000
2021-04-17 00:00,6745429779641068.0000000000
2021-04-18 00:00,6594482741426253.0000000000
2021-04-19 00:00,6664511517379865.0000000000
2021-04-20 00:00,6857228919166988.0000000000
2021-04-21 00:00,6918022708259513.0000000000
2021-04-22 00:00,6891671911442417.0000000000
2021-04-23 00:00,6872911345805309.0000000000
2021-04-24 00:00,7091046444361083.0000000000
2021-04-25 00:00,7171487742928972.0000000000
2021-04-26 00:00,7106295519544206.0000000000
2021-04-27 00:00,7294758919561514.0000000000
2021-04-28 00:00,7254432280784051.0000000000
2021-04-29 00:00,7265124863008387.0000000000
2021-04-30 00:00,7262694444604917.0000000000
2021-05-01 00:00,7323313040668110.0000000000
2021-05-02 00:00,7273492281798251.0000000000
2021-05-03 00:00,7481514822458784.0000000000
2021-05-04 00:00,7393633027372779.0000000000
2021-05-05 00:00,7615430053247264.0000000000
2021-05-06 00:00,7423584727843154.0000000000
2021-05-07 00:00,7562308324076481.0000000000
2021-05-08 00:00,7685927443713935.0000000000
2021-05-09 00:00,7631052199128147.0000000000
2021-05-10 00:00,7715669061072255.0000000000
2021-05-11 00:00,7735682838648044.0000000000
2021-05-12 00:00,7784731343146945.0000000000
2021-05-13 00:00,7886198420594319.0000000000
2021-05-14 00:00,7780139196989150.0000000000
2021-05-15 00:00,8045642997027586.0000000000
2021-05-16 00:00,7854131578618850.0000000000
2021-05-17 00:00,8002441043373299.0000000000
2021-05-18 00:00,8082140714075529.0000000000
2021-05-19 00:00,8166910502598694.0000000000
2021-05-20 00:00,7983587732817458.0000000000
2021-05-21 00:00,7912085053884349.0000000000
2021-05-22 00:00,7842146185209807.0000000000
